Analista,ALS,,,,,,,,,
Fecha de inicio,08/09/2023 05:33 a. m.  GMT: 08/09/2023 10:33 a. m.,,,,,,,,,
Hoja de trabajo,SA001970_3,,,,,,,,,
Comentario,,,,,,,,,,
Métodos,Au,,,,,,,,,
,,,,,,,,,,
Método: Au EFAA30 (Llama),,,,,,,,,,
,,,,,,,,,,
,PATRON,0.4969,,mg/L,2.3,0.0191,0.0019,0.019,0.0195,0.0187
,BLANCO,-0.001,,mg/L,>100,0,-0.0127,0.0001,-0.0002,0
,BLANCO REACTIVO,0,,mg/L,2.7,0.0071,-0.0055,0.0069,0.0073,0.0071
,SA001970-001,0.2717,,mg/L,0.6,0.0298,-0.0026,0.0297,0.0301,0.0298
,SA001970-002,0.1418,,mg/L,3.8,0.0157,-0.0038,0.0163,0.0151,0.0158
,SA001970-003,0.1077,,mg/L,3.9,0.0118,-0.0041,0.0114,0.0123,0.0119
,SA001970-004,0.1283,,mg/L,0.6,0.0124,-0.0042,0.0125,0.0125,0.0123
,SA001970-005,0.2467,,mg/L,2.3,0.0271,-0.0048,0.0268,0.0267,0.0278
,PATRON,0.5016,,mg/L,1.1,0.0174,0.0015,0.0176,0.0172,0.0174
,SA001970-006,0.469,,mg/L,0.6,0.0511,-0.0056,0.0511,0.0508,0.0514
,SA001970-007,0.1438,,mg/L,1.4,0.0144,0.0004,0.0145,0.0142,0.0145
,SA001970-008,0.028,,mg/L,10,0.0028,0.0004,0.0028,0.0025,0.003
,SA001970-009,0.219,,mg/L,0.6,0.0218,0.0005,0.0216,0.0219,0.0219
,SA001970-010,0.0642,,mg/L,6.3,0.0063,0.0004,0.0059,0.0066,0.0065
,PATRON,0.4887,,mg/L,0.4,0.017,0.0015,0.017,0.0169,0.0169
,BLANCO,-0.019,,mg/L,50.3,-0.0007,0.0002,-0.0008,-0.0003,-0.0009
,BLANCO REACTIVO,0,,mg/L,6.4,0.007,-0.0056,0.0064,0.0072,0.0072
,SA001970-011,0.1195,,mg/L,3.2,0.0119,-0.0122,0.0116,0.0124,0.0118
,SA001970-012,0.4061,,mg/L,0.6,0.0408,-0.0121,0.0407,0.041,0.0406
,SA001970-013,0.2001,,mg/L,2.2,0.0199,-0.0122,0.0195,0.0204,0.0199
,SA001970-014,0.0971,,mg/L,1.3,0.0096,-0.0125,0.0096,0.0098,0.0095
,SA001970-015,0.0935,,mg/L,1.3,0.0093,-0.0123,0.0091,0.0093,0.0094
,PATRON,0.5063,,mg/L,2.4,0.0176,-0.0112,0.018,0.0175,0.0172
,SA001970-016,0.2857,,mg/L,0.3,0.0285,-0.0121,0.0286,0.0285,0.0285
,SA001970-017,0.1629,,mg/L,1.2,0.0162,-0.0122,0.0161,0.0164,0.0162
,SA001970-018,0.1254,,mg/L,1,0.0125,-0.0124,0.0127,0.0125,0.0124
,SA001970-019,0.0042,,mg/L,26.2,0.0004,-0.0124,0.0003,0.0005,0.0005
,SA001970-020,0.1317,,mg/L,2.5,0.0131,-0.0121,0.0134,0.0131,0.0127
,PATRON,0.4959,,mg/L,1.5,0.0172,-0.0109,0.0174,0.0169,0.0174
,BLANCO,-0.0076,,mg/L,85.4,-0.0003,-0.0123,-0.0005,-0.0001,-0.0002
,BLANCO REACTIVO,0,,mg/L,0.9,0.0067,-0.0055,0.0067,0.0066,0.0067
,SA001970-021,0.1626,,mg/L,0.9,0.0162,-0.012,0.0163,0.0161,0.0163
,SA001970-022,0.5367,,mg/L,0.4,0.054,-0.0119,0.0539,0.0543,0.0539
,SA001970-023,0.5944,,mg/L,0.2,0.0603,-0.0115,0.0603,0.0601,0.0603
,SA001970-024,0.128,,mg/L,0.4,0.0127,-0.0117,0.0128,0.0127,0.0126
,SA001970-025,0.1508,,mg/L,0.8,0.015,-0.0118,0.015,0.0148,0.0151
,PATRON,0.4965,,mg/L,0.2,0.0172,-0.0106,0.0173,0.0172,0.0173
,SA001970-026,-0.0001,,mg/L,>100,0,-0.0118,-0.0002,0.0003,-0.0002
,SA001970-027,0.0628,,mg/L,7.6,0.0062,-0.0119,0.0057,0.0065,0.0065
,SA001970-028,0.0734,,mg/L,1.8,0.0073,-0.0119,0.0073,0.0071,0.0074
,SA001970-029,-0.0009,,mg/L,>100,-0.0001,-0.0121,-0.0004,0.0001,0.0001
,SA001970-030,0.5239,,mg/L,1.3,0.053,-0.0117,0.0523,0.0531,0.0537
,PATRON,0.5046,,mg/L,0.8,0.0175,-0.0109,0.0174,0.0176,0.0176
,BLANCO,-0.002,,mg/L,>100,-0.0001,-0.0122,0.0001,-0.0002,-0.0001
,BLANCO REACTIVO,0,,mg/L,1.2,0.0063,-0.0054,0.0062,0.0064,0.0064
,SA001970-031,0.3253,,mg/L,1.6,0.0327,-0.0113,0.0321,0.0329,0.0331
,SA001970-032,0.4258,,mg/L,0.4,0.0427,-0.0114,0.0427,0.0425,0.0429
,PATRON,0.4974,,mg/L,1.6,0.0173,-0.0101,0.0171,0.0171,0.0176
,BLANCO,-0.0028,,mg/L,>100,-0.0001,-0.0114,0.0002,0.0001,-0.0007
,BLANCO REACTIVO,0,,mg/L,5.1,0.0064,-0.0052,0.0066,0.0065,0.006
