PATRON,5.0049,,mg/L,0.7,0.051,0.0507,0.0514,0.0508
BLANCO,0.0113,,mg/L,74.7,0.0001,0,0.0002,0.0001
BLANCO REACTIVO,0,,mg/L,10.5,0.0003,0.0003,0.0003,0.0003
FASE 1,0.0577,,mg/L,14.7,0.0006,0.0007,0.0005,0.0006
FASE 2,0.0633,,mg/L,13.3,0.0007,0.0007,0.0006,0.0007
FASE 3,0.097,,mg/L,10.9,0.001,0.0009,0.0011,0.0011
VSP NORTE,0.0603,,mg/L,1.9,0.0006,0.0006,0.0006,0.0006
CELDA 8.1,0.0922,,mg/L,3.6,0.001,0.001,0.0009,0.001
CELDA 8.2,0.0822,,mg/L,8.5,0.0009,0.0009,0.0009,0.0008
CELDA 8.3,0.3008,,mg/L,2.8,0.0031,0.0031,0.0032,0.003
PATRON,4.9472,,mg/L,1.1,0.0504,0.051,0.0501,0.0501
BLANCO,-0.0006,,mg/L,>100,0,0,0,0
BLANCO REACTIVO,0,,mg/L,16.6,0.001,0.0012,0.0009,0.001
