PATRON,0.1507,,mg/L,2.6,0.0077,-0.0031,0.0075,0.0077,0.0079
BLANCO,0.0001,,mg/L,>100,0,0.0009,-0.0001,-0.0004,0.0004
BLANCO REACTIVO,0,,mg/L,>100,-0.0002,0.0001,-0.0001,-0.0006,0
H,0.0847,,mg/L,10.6,0.0042,0.0014,0.0044,0.0037,0.0045
C1,0.0641,,mg/L,8.4,0.0031,0.0014,0.0034,0.003,0.0029
C2,0.0571,,mg/L,5.5,0.0028,0.0013,0.0027,0.0027,0.003
PATRON,0.0523,,mg/L,18.1,0.0025,-0.0019,0.0023,0.0031,0.0022
BLANCO,0.0002,,mg/L,>100,0,0.0003,-0.0002,0.0003,-0.0001
BLANCO REACTIVO,0,,mg/L,>100,-0.0001,0,-0.0003,-0.0003,0.0001
C3,0.0435,,mg/L,19,0.0021,0.0011,0.002,0.0017,0.0025
C4,0.0287,,mg/L,6.9,0.0014,0.0012,0.0014,0.0013,0.0014
T,0.0161,,mg/L,12.7,0.0008,0.0012,0.0007,0.0008,0.0008
PATRON,0.0521,,mg/L,9.1,0.0025,-0.0022,0.0023,0.0027,0.0026
BLANCO,-0.0031,,mg/L,>100,-0.0001,0,0,0,-0.0005
BLANCO REACTIVO,0,,mg/L,>100,-0.0001,-0.0001,-0.0003,-0.0002,0.0003
DP1,0.0703,,mg/L,26,0.0034,0.0005,0.003,0.0045,0.0028
DP2,0.0776,,mg/L,18.5,0.0038,0.0004,0.003,0.0041,0.0043
DP3,0.0668,,mg/L,9,0.0033,0.0002,0.0033,0.0029,0.0035
PATRON,0.151,,mg/L,5.7,0.0077,-0.0025,0.0074,0.0075,0.0082
BLANCO,-0.0004,,mg/L,>100,0,0.0001,-0.0005,0.0003,0.0001
BLANCO REACTIVO,0,,mg/L,>100,0.0001,-0.0002,0.0001,0.0004,-0.0001
DP4,0.0864,,mg/L,6.8,0.0043,0.0016,0.0042,0.0046,0.004
DP5,0.0336,,mg/L,12.1,0.0016,0.002,0.0014,0.0018,0.0016
DP6,0.1362,,mg/L,1,0.0069,-0.0005,0.007,0.0068,0.0069
PATRON,0.15,,mg/L,7.4,0.0077,-0.0024,0.008,0.008,0.007
BLANCO,-0.0027,,mg/L,>100,-0.0001,0.0001,0.0001,0,-0.0006
BLANCO REACTIVO,0,,mg/L,>100,0,-0.0003,0.0002,0.0003,-0.0006
ELY1,0.0634,,mg/L,17.9,0.0031,0.0008,0.0032,0.0036,0.0025
ELY2,0.0549,,mg/L,17.6,0.0027,0.0009,0.0031,0.0027,0.0022
ELY3,0.043,,mg/L,18.9,0.0021,0.0009,0.0017,0.002,0.0025
PATRON,0.0522,,mg/L,9.8,0.0025,-0.0024,0.0028,0.0025,0.0023
BLANCO,-0.0024,,mg/L,>100,-0.0001,-0.0003,0.0001,-0.0003,-0.0002
BLANCO REACTIVO,0,,mg/L,>100,-0.0001,-0.0003,-0.0002,0.0001,-0.0001
ELY4,0.0377,,mg/L,52.6,0.0018,0.0006,0.0007,0.0024,0.0023
ELY5,0.0157,,mg/L,34.5,0.0007,0.0007,0.0004,0.0009,0.0009
PATRON,0.0488,,mg/L,5.2,0.0024,-0.0024,0.0025,0.0022,0.0024
BLANCO,-0.0025,,mg/L,80.6,-0.0001,-0.0004,-0.0001,0,-0.0002
BLANCO REACTIVO,0,,mg/L,>100,-0.0001,-0.0004,0.0003,-0.0003,-0.0002
