Analista,JS,,,,,,,,
Fecha de inicio,09:01 a. m. 23/12/2025  GMT: 03:01 p. m. 23/12/2025,,,,,,,,
Hoja de trabajo,SA007342,,,,,,,,
Comentario,,,,,,,,,
Métodos,Au,,,,,,,,
,,,,,,,,,
Peso nominal,1,Volumen nominal,1,,,,,,
Método: Au EFAA30 (Llama),,,,,,,,,
,,,,,,,,,
Au,PATRON,0.5114,,mg/L,1,2.1,0.0182,0.0006,
Au,BLANCO,-0.0038,,mg/L,1,81.5,-0.0001,0,
Au,BLANCO REACTIVO,0,,mg/L,1,>100,0.0002,-0.0005,
Au,SA007342-001,0.101,,mg/L,1,0.3,0.0154,0.0002,30.03
Au,SA007342-002,0.0732,,mg/L,1,3,0.0111,0.0001,30.03
Au,SA007342-003,0.0063,,mg/L,1,10.1,0.001,0.0001,30.04
Au,SA007342-004,0.0899,,mg/L,1,1.1,0.0136,0.0001,30.03
Au,SA007342-005,0.1068,,mg/L,1,3.5,0.0163,0.0003,30.04
Au,PATRON,0.4739,,mg/L,1,3.2,0.0168,0.0015,
Au,SA007342-006,0.081,,mg/L,1,2.1,0.0123,0.0005,30
Au,SA007342-007,0.0875,,mg/L,1,1,0.0133,0.0002,30.05
Au,SA007342-008,1.2873,,mg/L,1,0.3,0.2149,0,30.01
Au,SA007342-009,0.1276,,mg/L,1,1.1,0.0195,0.0003,30
Au,SA007342-010,0.6221,,mg/L,1,0.6,0.0975,0.0003,30
Au,PATRON,0.5195,,mg/L,1,0.7,0.0185,0.0007,
Au,BLANCO,0.021,,mg/L,1,41.6,0.0007,-0.0003,
Au,BLANCO REACTIVO,0,,mg/L,1,56.3,0.0007,-0.0002,
Au,SA007342-011,0.251,,mg/L,1,0.6,0.0389,-0.0003,30.02
Au,SA007342-012,0.1375,,mg/L,1,0.9,0.021,-0.0005,30.01
Au,SA007342-013,0.0597,,mg/L,1,1.2,0.009,0.0002,30
Au,SA007342-014,0.0954,,mg/L,1,1.6,0.0145,0,30
Au,SA007342-015,0.1049,,mg/L,1,1.7,0.016,-0.0001,30.03
Au,PATRON,0.5114,,mg/L,1,0.9,0.0182,0.001,
Au,SA007342-016,0.3644,,mg/L,1,1.3,0.0571,-0.0003,30
Au,SA007342-017,1.4603,,mg/L,1,1.7,0.2446,-0.0001,30.03
Au,SA007342-018,0.2765,,mg/L,1,0.5,0.043,-0.0008,30.04
Au,SA007342-019,0.1253,,mg/L,1,0.9,0.0191,-0.0001,30
Au,SA007342-020,0.1564,,mg/L,1,1.1,0.0239,0.0001,30.03
Au,PATRON,0.4981,,mg/L,1,2,0.0173,0.002,
Au,BLANCO,-0.0053,,mg/L,1,>100,-0.0002,-0.0004,
Au,BLANCO REACTIVO,0,,mg/L,1,23.4,0.0011,0,
Au,SA007342-021,0.1614,,mg/L,1,0.3,0.0241,0.0009,30.03
Au,SA007342-022,0.1082,,mg/L,1,0.8,0.016,0.0009,30
Au,SA007342-023,-0.0031,,mg/L,1,80.2,-0.0005,0.0011,30
Au,SA007342-024,0.3239,,mg/L,1,0.4,0.0493,0.0008,30.03
Au,SA007342-025,0.1757,,mg/L,1,1.3,0.0263,0.0007,30.02
Au,PATRON,0.4851,,mg/L,1,2.6,0.0168,0.0021,
Au,SA007342-026,0.0784,,mg/L,1,1.3,0.0116,0.0013,30.02
Au,SA007342-027,-0.0003,,mg/L,1,>100,0,0.0012,30
Au,SA007342-028,0.0524,,mg/L,1,3.5,0.0077,0.0011,30.02
Au,SA007342-029,0.2174,,mg/L,1,1,0.0327,0.0011,30.02
Au,SA007342-030,0.3903,,mg/L,1,1.3,0.0598,0.0009,30.02
Au,PATRON,0.495,,mg/L,1,0.5,0.0171,0.0024,
Au,BLANCO,-0.0164,,mg/L,1,36,-0.0006,0.0007,
Au,BLANCO REACTIVO,0,,mg/L,1,51,0.0006,0.0007,
Au,SA007342-031,0.0796,,mg/L,1,1.6,0.0118,0.0006,30
Au,SA007342-032,0.0783,,mg/L,1,1.8,0.0116,0.0007,30
Au,PATRON,0.5031,,mg/L,1,1.2,0.0174,0.0017,
Au,BLANCO,-0.0008,,mg/L,1,>100,0,0.0006,
Au,BLANCO REACTIVO,0,,mg/L,1,59.8,0.0003,0.0011,
