Analista,GGP,,,,,,,,,
Fecha de inicio,10:44 a. m. 13/01/2026  GMT: 04:44 p. m. 13/01/2026,,,,,,,,,
Hoja de trabajo,SA007648,,,,,,,,,
Comentario,,,,,,,,,,
Métodos,Au,,,,,,,,,
,,,,,,,,,,
Peso nominal,1,Volumen nominal,1,,,,,,,
Método: Au EFAA30 (Llama),,,,,,,,,,
,,,,,,,,,,
Au,PATRON,0.5145,,mg/L,1,1.4,0.0189,0.0012,1,1
Au,BLANCO,0.0025,,mg/L,1,>100,0.0001,-0.0001,1,1
Au,BLANCO REACTIVO,0,,mg/L,1,>100,0,-0.0002,1,1
Au,SA007648-001,0.0644,,mg/L,1,1.5,0.0101,0.0007,30.027,7
Au,SA007648-002,0.4524,,mg/L,1,1.1,0.0734,0.0004,30.029,7
Au,SA007648-003,0.4336,,mg/L,1,1.5,0.0703,0.0002,30.034,7
Au,SA007648-004,0.1599,,mg/L,1,1.4,0.0252,0.0004,30.007,7
Au,SA007648-005,0.101,,mg/L,1,1.7,0.0159,0.001,30.006,7
Au,PATRON,0.4991,,mg/L,1,0.2,0.0183,0.0028,1,1
Au,SA007648-006,0.188,,mg/L,1,0.8,0.0298,0.0007,30.009,7
Au,SA007648-007,0.1908,,mg/L,1,1,0.0304,0.002,30.002,7
Au,SA007648-008,0.308,,mg/L,1,0.4,0.0494,0.0004,30.023,7
Au,SA007648-009,0.0021,,mg/L,1,>100,0.0003,0.0006,30.008,7
Au,SA007648-010,0.0509,,mg/L,1,2.9,0.0079,0.0007,30.025,7
Au,PATRON,0.4959,,mg/L,1,1.1,0.0182,0.0013,1,1
Au,BLANCO,0.0022,,mg/L,1,>100,0.0001,0.0002,1,1
Au,BLANCO REACTIVO,0,,mg/L,1,52.1,-0.0006,0.0001,1,1
Au,SA007648-011,0.0974,,mg/L,1,1.6,0.0153,0.0005,30.027,7
Au,SA007648-012,0.1301,,mg/L,1,1,0.0205,0.0007,30.024,7
Au,SA007648-013,0.1087,,mg/L,1,1,0.0171,0.0007,30.036,7
Au,SA007648-014,0.1201,,mg/L,1,0.4,0.0189,0.0005,30.005,7
Au,SA007648-015,0.0876,,mg/L,1,0.5,0.0137,0.0001,30.018,7
Au,PATRON,0.4944,,mg/L,1,1.2,0.0181,0.0019,1,1
Au,SA007648-016,0.1222,,mg/L,1,0.8,0.0193,0.0022,30.013,7
Au,SA007648-017,0.2655,,mg/L,1,1.2,0.0424,0.0015,30.013,7
Au,SA007648-018,0.0216,,mg/L,1,3.5,0.0034,0.0013,30.014,7
Au,SA007648-019,0.0947,,mg/L,1,0.1,0.0148,0.0015,30.016,7
Au,SA007648-020,-0.0027,,mg/L,1,56.1,-0.0004,0.0018,30,7
Au,PATRON,0.5151,,mg/L,1,0.7,0.0189,0.0021,1,1
Au,BLANCO,-0.0002,,mg/L,1,>100,0,0.001,1,1
Au,BLANCO REACTIVO,0,,mg/L,1,28.3,-0.0008,0.0002,1,1
Au,SA007648-021,0.1051,,mg/L,1,2.7,0.0165,0.0017,30.022,7
Au,SA007648-022,0.1851,,mg/L,1,0.3,0.0293,0.0012,30.015,7
Au,SA007648-023,0.4804,,mg/L,1,0.5,0.0781,0.0007,30.036,7
Au,SA007648-024,0.0135,,mg/L,1,24.5,0.0021,0.0014,30.016,7
Au,SA007648-025,0.0427,,mg/L,1,1.5,0.0067,0.0016,30.033,7
Au,PATRON,0.5084,,mg/L,1,1.6,0.0186,0.0021,1,1
Au,SA007648-026,0.1542,,mg/L,1,1.6,0.0243,0.0016,30.01,7
Au,SA007648-027,0.3699,,mg/L,1,1.6,0.0596,0.0013,30.007,7
Au,SA007648-028,0.0966,,mg/L,1,0.4,0.0152,0.0014,30.024,7
Au,SA007648-029,0.0836,,mg/L,1,1.3,0.0131,0.0016,30.03,7
Au,SA007648-030,0.2288,,mg/L,1,0.8,0.0364,0.0013,30.014,7
Au,PATRON,0.5174,,mg/L,1,0.7,0.0204,0.0014,1,1
Au,BLANCO,0.0007,,mg/L,1,>100,0,-0.0003,1,1
Au,BLANCO REACTIVO,0,,mg/L,1,68.7,0.0002,0,1,1
Au,SA007648-031,0.0133,,mg/L,1,5.7,0.0022,0.0001,30.045,7
Au,SA007648-032,0.0144,,mg/L,1,0.4,0.0024,0,30.025,7
Au,PATRON,0.4858,,mg/L,1,0.9,0.0179,0.0011,1,1
Au,BLANCO,0.0085,,mg/L,1,79.7,0.0003,0.0014,1,1
Au,BLANCO REACTIVO,0,,mg/L,1,34.5,-0.0009,0,1,1
