Analista,RDB,,,,,,,,,
Fecha de inicio,02/01/2024 03:32 a. m.  GMT: 02/01/2024 09:32 a. m.,,,,,,,,,
Hoja de trabajo,SA002828_3,,,,,,,,,
Comentario,,,,,,,,,,
Métodos,Au,,,,,,,,,
,,,,,,,,,,
Método: Au EFAA30 (Llama),,,,,,,,,,
,,,,,,,,,,
,PATRON,0.4955,,mg/L,0.7,0.0164,0.001,0.0163,0.0163,0.0165
,BLANCO,-0.0189,,mg/L,25,-0.0006,0,-0.0008,-0.0006,-0.0005
,BLANCO REACTIVO,0,,mg/L,40.6,-0.0003,0,-0.0002,-0.0004,-0.0004
,SA002828-001,0.1741,,mg/L,1.8,0.0164,0.0008,0.0164,0.0168,0.0162
,SA002828-002,0.0879,,mg/L,2.6,0.0083,0.0008,0.0081,0.0085,0.0083
,SA002828-003,0.2626,,mg/L,0.9,0.0248,0.0007,0.0249,0.0246,0.025
,SA002828-004,0.9606,,mg/L,0.8,0.0911,0.001,0.0904,0.0919,0.091
,SA002828-005,-0.003,,mg/L,86,-0.0003,0.0008,-0.0004,0,-0.0004
,PATRON,0.4952,,mg/L,2.6,0.0164,0.0022,0.0165,0.0159,0.0167
,SA002828-006,-0.0087,,mg/L,10.9,-0.0008,0.0015,-0.0007,-0.0008,-0.0009
,SA002828-007,2.2579,,mg/L,0.5,0.2113,0.0017,0.2112,0.2124,0.2102
,SA002828-008,0.8539,,mg/L,0.3,0.081,0.0015,0.0809,0.0809,0.0813
,SA002828-009,0.8921,,mg/L,26.1,0.0792,0.0007,0.0908,0.0916,0.0553
,SA002828-010,0.879,,mg/L,0.8,0.0834,0.0023,0.0841,0.0831,0.0828
,PATRON,0.5175,,mg/L,2.3,0.017,0.0008,0.0174,0.0166,0.017
,BLANCO,0.0051,,mg/L,88.8,0.0002,0,0.0002,0.0003,0
,BLANCO REACTIVO,0,,mg/L,7,-0.0028,0.0021,-0.003,-0.0026,-0.0026
,SA002828-011,4.6069,,mg/L,1.2,0.0427,-0.0004,0.0422,0.0428,0.0432
,SA002828-012,0.7076,,mg/L,1.1,0.0654,0.0054,0.0655,0.066,0.0645
,SA002828-013,0.1999,,mg/L,1.2,0.0186,0.0052,0.0184,0.0186,0.0188
,SA002828-014,0.2938,,mg/L,1.4,0.0273,0.0052,0.0276,0.0269,0.0274
,SA002828-015,0.6463,,mg/L,0.6,0.0598,0.0051,0.0595,0.0598,0.0601
,PATRON,0.5091,,mg/L,2.2,0.0167,0.001,0.0167,0.0171,0.0163
,SA002828-016,2.8297,,mg/L,0.6,0.2531,0.0057,0.2548,0.2521,0.2523
,SA002828-017,-0.0005,,mg/L,>100,0,0.005,-0.0001,-0.0004,0.0004
,SA002828-018,0.7468,,mg/L,0.5,0.069,0.0051,0.0688,0.0688,0.0694
,SA002828-019,0.2214,,mg/L,2.8,0.0206,0.0047,0.0209,0.0209,0.0199
,SA002828-020,0.3511,,mg/L,1.4,0.0326,0.0049,0.0323,0.0331,0.0324
,PATRON,0.5257,,mg/L,0.9,0.0171,0.0058,0.0172,0.0169,0.0172
,BLANCO,0.0262,,mg/L,19.8,0.0009,0.0047,0.0007,0.0009,0.001
,BLANCO REACTIVO,0,,mg/L,13.9,-0.0021,0.0019,-0.0024,-0.0022,-0.0018
,SA002828-021,0.2116,,mg/L,0.7,0.0197,0.0043,0.0198,0.0198,0.0195
,SA002828-022,0.2523,,mg/L,1.1,0.0234,0.0044,0.0237,0.0232,0.0234
,SA002828-023,0.1696,,mg/L,1,0.0158,0.0044,0.0158,0.0159,0.0156
,SA002828-024,0.1768,,mg/L,2.7,0.0164,0.0046,0.0166,0.0159,0.0168
,SA002828-025,0.1921,,mg/L,0.2,0.0178,0.0045,0.0178,0.0179,0.0179
,PATRON,0.5077,,mg/L,2.3,0.0165,0.0051,0.0167,0.0161,0.0168
,SA002828-026,0.4173,,mg/L,0.7,0.0387,0.0043,0.0384,0.039,0.0387
,SA002828-027,0.2339,,mg/L,1.4,0.0217,0.0042,0.0216,0.0215,0.0221
,SA002828-028,0.4525,,mg/L,0.3,0.0419,0.0042,0.042,0.0418,0.0419
,SA002828-029,0.1179,,mg/L,1.4,0.0106,0.0003,0.0104,0.0107,0.0106
,SA002828-030,0.4306,,mg/L,0.4,0.0399,0.0043,0.0398,0.0401,0.0399
,PATRON,0.505,,mg/L,0.9,0.0164,0.0052,0.0166,0.0163,0.0165
,BLANCO,0.0038,,mg/L,>100,0.0001,0.0041,0.0001,-0.0001,0.0004
,BLANCO REACTIVO,0,,mg/L,4.2,-0.0025,0.0024,-0.0024,-0.0025,-0.0026
,SA002828-031,0.1732,,mg/L,1.3,0.0161,0.0045,0.0159,0.0163,0.0162
,SA002828-032,0.1839,,mg/L,1.3,0.0171,0.0047,0.0174,0.0171,0.0169
,PATRON,0.4952,,mg/L,2.1,0.0161,0.0057,0.016,0.0165,0.0159
,BLANCO,0.0192,,mg/L,1.8,0.0006,0.0043,0.0006,0.0006,0.0006
,BLANCO REACTIVO,0,,mg/L,18.2,-0.002,0.0018,-0.002,-0.0024,-0.0016
