Analista,JGS,,,,,,,,
Fecha de inicio,06/03/2023 12:38 a. m.  GMT: 06/03/2023 06:38 a. m.,,,,,,,,
Hoja de trabajo,SA000562-RE_6,,,,,,,,
Comentario,,,,,,,,,
Métodos,Ag,,,,,,,,
,,,,,,,,,
Método: Ag HCL (Llama),,,,,,,,,
,,,,,,,,,
,PATRON,0.9988,,mg/L,0.5,0.1247,0.1241,0.125,0.1252
,BLANCO,0.0012,,mg/L,53.7,0.0002,0.0002,0.0001,0.0001
,BLANCO REACTIVO,0,,mg/L,39,-0.0005,-0.0004,-0.0004,-0.0007
,SA000540-001,4.6474,,mg/L,0.4,0.0235,0.0235,0.0236,0.0234
,SA000540-002,4.8635,,mg/L,0.2,0.0246,0.0247,0.0245,0.0246
,SA000540-003,3.2726,,mg/L,0.8,0.0166,0.0165,0.0168,0.0165
,SA000540-004,0.0829,,mg/L,63.2,0.0004,0.0007,0.0005,0.0001
,SA000540-005,8.4047,,mg/L,0.5,0.0425,0.0424,0.0424,0.0428
,PATRON,0.9907,,mg/L,0.4,0.1237,0.1238,0.1232,0.1242
,SA000540-006,7.3025,,mg/L,0.3,0.0368,0.0366,0.0369,0.0368
,SA000540-007,4.9568,,mg/L,1.2,0.025,0.0252,0.0246,0.025
,SA000540-008,3.6709,,mg/L,1.7,0.0184,0.0187,0.0185,0.0181
,SA000540-009,4.4865,,mg/L,0.2,0.0225,0.0225,0.0225,0.0226
,SA000540-010,28.977,,mg/L,0.5,0.1457,0.1464,0.1457,0.145
,PATRON,0.9909,,mg/L,0.7,0.1238,0.123,0.1247,0.1236
,BLANCO,0.0005,,mg/L,>100,0.0001,0.0002,0,-0.0001
,BLANCO REACTIVO,0,,mg/L,59.8,-0.0003,-0.0001,-0.0004,-0.0004
,SA000540-011,27.3661,,mg/L,0.8,0.1372,0.1362,0.1371,0.1383
,SA000540-012,8.623,,mg/L,0.2,0.0434,0.0433,0.0435,0.0434
,SA000540-013,7.1927,,mg/L,0.5,0.0362,0.036,0.0362,0.0363
,SA000540-014,3.3174,,mg/L,1.7,0.0168,0.0165,0.0168,0.0171
,SA000540-016,4.049,,mg/L,1.2,0.0203,0.0202,0.0206,0.0201
,PATRON,1.0024,,mg/L,0.3,0.1231,0.1227,0.1232,0.1233
,SA000540-017,4.9121,,mg/L,0.4,0.0245,0.0244,0.0245,0.0246
,SA000540-018,4.9998,,mg/L,0.1,0.0247,0.0247,0.0247,0.0247
,SA000540-019,26.6997,,mg/L,0.5,0.1317,0.131,0.1321,0.1319
,SA000540-020,3.4333,,mg/L,0.4,0.017,0.0169,0.017,0.017
,SA000540-021,5.9258,,mg/L,0.4,0.0296,0.0297,0.0295,0.0295
,PATRON,0.9849,,mg/L,0.2,0.121,0.1211,0.121,0.1207
,BLANCO,-0.0001,,mg/L,>100,0,0,0,-0.0001
,BLANCO REACTIVO,0,,mg/L,5.3,-0.0002,-0.0001,-0.0002,-0.0002
,SA000540-022,2.8686,,mg/L,1.4,0.0142,0.014,0.0142,0.0144
,SA000540-023,0.1741,,mg/L,11.9,0.0009,0.001,0.0008,0.0008
,SA000540-024,5.8306,,mg/L,0.4,0.0288,0.0287,0.0289,0.0289
,SA000540-025,9.5076,,mg/L,0.6,0.0472,0.0468,0.0474,0.0473
,SA000540-026,10.3782,,mg/L,0.9,0.0517,0.0514,0.0514,0.0522
,PATRON,0.9826,,mg/L,0.3,0.1207,0.1203,0.1207,0.121
,PATRON,0.9853,,mg/L,0.2,0.121,0.1207,0.1211,0.1212
,BLANCO,0.001,,mg/L,92.5,0.0001,0,0.0002,0.0001
,BLANCO REACTIVO,0,,mg/L,57.3,-0.0001,0,-0.0002,-0.0002
