Analista,JCAN,,,,,,,,
Fecha de inicio,26/03/2023 02:02 p. m.  GMT: 26/03/2023 08:02 p. m.,,,,,,,,
Hoja de trabajo,SA000770_6,,,,,,,,
Comentario,,,,,,,,,
Métodos,Ag,,,,,,,,
,,,,,,,,,
Método: Ag HCL (Llama),,,,,,,,,
,,,,,,,,,
,PATRON,1.0176,,mg/L,0.3,0.1124,0.1128,0.1123,0.1121
,BLANCO,0.0013,,mg/L,23,0.0001,0.0002,0.0001,0.0001
,BLANCO REACTIVO,0,,mg/L,>100,-0.0001,0,0.0001,-0.0002
,SA000770-001,1.4343,,mg/L,2.9,0.0065,0.0066,0.0066,0.0063
,SA000770-002,1.4211,,mg/L,0.9,0.0064,0.0064,0.0064,0.0065
,SA000770-003,3.1244,,mg/L,0.7,0.0141,0.014,0.0142,0.0141
,SA000770-004,2.0114,,mg/L,1,0.0091,0.009,0.0091,0.0092
,SA000770-005,1.8753,,mg/L,1.5,0.0085,0.0086,0.0084,0.0085
,PATRON,1.0215,,mg/L,0.6,0.1128,0.1135,0.1128,0.1121
,SA000770-006,1.4669,,mg/L,0.7,0.0066,0.0067,0.0067,0.0066
,SA000770-007,15.3242,,mg/L,0.4,0.0687,0.0685,0.0686,0.069
,SA000770-008,1.6078,,mg/L,3,0.0073,0.0073,0.0075,0.0071
,SA000770-009,1.2243,,mg/L,3.4,0.0055,0.0056,0.0053,0.0057
,SA000770-010,1.1519,,mg/L,0.8,0.0052,0.0053,0.0052,0.0052
,PATRON,1.0223,,mg/L,0.6,0.1129,0.1137,0.1127,0.1123
,BLANCO,0.0017,,mg/L,8.3,0.0002,0.0002,0.0002,0.0002
,BLANCO REACTIVO,0,,mg/L,>100,0,-0.0001,-0.0001,0
,SA000770-011,1.6312,,mg/L,2.4,0.0074,0.0072,0.0076,0.0074
,SA000770-012,1.8299,,mg/L,0.7,0.0083,0.0083,0.0082,0.0083
,SA000770-013,1.4764,,mg/L,2.5,0.0067,0.0067,0.0069,0.0065
,SA000770-014,0.1321,,mg/L,4.4,0.0006,0.0006,0.0006,0.0006
,SA000770-015,1.3957,,mg/L,2,0.0063,0.0063,0.0064,0.0062
,PATRON,1.0207,,mg/L,0,0.1127,0.1128,0.1127,0.1128
,SA000770-016,1.4669,,mg/L,1.4,0.0066,0.0066,0.0067,0.0066
,SA000770-017,1.4618,,mg/L,0.6,0.0066,0.0067,0.0066,0.0066
,SA000770-018,1.3708,,mg/L,1.6,0.0062,0.0062,0.0063,0.0061
,SA000770-019,1.3227,,mg/L,0.5,0.006,0.006,0.0059,0.006
,SA000770-020,1.6328,,mg/L,2.6,0.0074,0.0073,0.0073,0.0076
,PATRON,1.0235,,mg/L,0.2,0.113,0.1133,0.113,0.1127
,BLANCO,0.0004,,mg/L,>100,0,0.0001,0.0001,0
,BLANCO REACTIVO,0,,mg/L,>100,-0.0001,0,0,-0.0002
,SA000770-021,0.6459,,mg/L,1.1,0.0029,0.0029,0.003,0.0029
,SA000770-022,1.7658,,mg/L,0.4,0.008,0.008,0.008,0.008
,SA000770-023,1.6012,,mg/L,2.3,0.0072,0.0072,0.0071,0.0074
,SA000770-024,1.4272,,mg/L,0.1,0.0065,0.0065,0.0065,0.0065
,SA000770-025,2.4524,,mg/L,0.5,0.0111,0.0111,0.0111,0.0112
,PATRON,1.0227,,mg/L,0.3,0.1129,0.1126,0.1131,0.1131
,SA000770-026,1.4984,,mg/L,2.4,0.0068,0.0068,0.0069,0.0066
,SA000770-027,8.5664,,mg/L,1.4,0.0387,0.0381,0.0392,0.0387
,SA000770-028,0.009,,mg/L,91.6,0,0,0,0.0001
,SA000770-029,3.0215,,mg/L,3.9,0.0137,0.0141,0.0139,0.0131
,SA000770-030,2.2724,,mg/L,2,0.0103,0.0105,0.0103,0.0101
,PATRON,1.0215,,mg/L,0.7,0.1128,0.1127,0.112,0.1137
,BLANCO,0.0002,,mg/L,>100,0,0.0001,0.0001,-0.0001
,BLANCO REACTIVO,0,,mg/L,94.3,-0.0002,-0.0002,-0.0003,0
,SA000770-031,2.6202,,mg/L,0.2,0.0119,0.0119,0.0119,0.0118
,SA000770-032,2.0534,,mg/L,0.8,0.0093,0.0093,0.0093,0.0094
,PATRON,1.0218,,mg/L,0.1,0.1128,0.1129,0.1127,0.1129
