Analista,GGP,,,,,,,,
Fecha de inicio,03:54 p. m. 15/12/2025  GMT: 09:54 p. m. 15/12/2025,,,,,,,,
Hoja de trabajo,SA007213_3,,,,,,,,
Comentario,,,,,,,,,
Métodos,Au,,,,,,,,
,,,,,,,,,
Peso nominal,1,Volumen nominal,1,,,,,,
Método: Au EFAA30 (Llama),,,,,,,,,
,,,,,,,,,
,PATRON,0.4983,,mg/L,1,0.7,0.0194,0.0009,
,BLANCO,-0.0007,,mg/L,1,>100,0,0.0001,
,BLANCO REACTIVO,0,,mg/L,1,>100,0.0001,0.0013,
,SA007213-001,0.1533,,mg/L,1,0.7,0.0257,0.0008,30.01
,SA007213-002,0.238,,mg/L,1,1,0.0402,0.0004,30.02
,SA007213-003,0.2127,,mg/L,1,1.1,0.0359,0.0008,30
,SA007213-004,0.17,,mg/L,1,1.3,0.0286,0.0002,30
,SA007213-005,0.0658,,mg/L,1,2.2,0.011,0.0004,30.02
,PATRON,0.4998,,mg/L,1,3.1,0.0195,0.0018,
,SA007213-006,0.0965,,mg/L,1,1.9,0.0161,0.0005,30
,SA007213-007,0.0534,,mg/L,1,3,0.0089,0.0002,30.02
,SA007213-008,0.0483,,mg/L,1,1.9,0.008,0.0002,30.02
,SA007213-009,0.0089,,mg/L,1,9.1,0.0015,0.0001,30
,SA007213-010,0.0422,,mg/L,1,4.7,0.007,-0.0002,30
,PATRON,0.5043,,mg/L,1,2,0.0186,0.001,
,BLANCO,0.0054,,mg/L,1,26.7,0.0002,-0.0003,
,BLANCO REACTIVO,0,,mg/L,1,>100,-0.0001,0.0015,
,SA007213-011,0.0438,,mg/L,1,3.9,0.0073,0.0005,30
,SA007213-012,0.8792,,mg/L,1,1,0.1531,0.0002,30.04
,SA007213-013,0.927,,mg/L,1,1.2,0.1524,-0.0005,30.02
,SA007213-014,0.1177,,mg/L,1,1.5,0.0197,0.0005,30.01
,SA007213-015,0.087,,mg/L,1,1.8,0.0145,0.0007,30.02
,PATRON,0.485,,mg/L,1,2.4,0.0189,0.002,
,SA007213-016,0.1356,,mg/L,1,1.1,0.0227,0.0009,30.01
,SA007213-017,0.0682,,mg/L,1,3.1,0.0114,0.0011,30.04
,SA007213-018,0.1678,,mg/L,1,0.5,0.0282,0.001,30
,SA007213-019,0.1819,,mg/L,1,1.8,0.0289,0.0001,30.01
,SA007213-020,0.238,,mg/L,1,0.7,0.0402,0.0008,30.02
,PATRON,0.4818,,mg/L,1,2.9,0.0188,0.0019,
,BLANCO,0.0008,,mg/L,1,>100,0,0.0002,
,BLANCO REACTIVO,0,,mg/L,1,74.8,-0.0004,0.0017,
,SA007213-021,0.0716,,mg/L,1,2.1,0.0119,0.0014,30
,SA007213-022,0.0717,,mg/L,1,2,0.0119,0.0011,30
,SA007213-023,0.111,,mg/L,1,1.7,0.0186,0.001,30.02
,SA007213-024,0.259,,mg/L,1,1.6,0.0438,0.0013,30.01
,SA007213-025,0.1099,,mg/L,1,3.6,0.0184,0.0009,30
,PATRON,0.4944,,mg/L,1,0.9,0.0193,0.0017,
,SA007213-026,0.0037,,mg/L,1,23.4,0.0006,0.001,30
,SA007213-027,0.111,,mg/L,1,2.1,0.0186,0.0008,30.02
,SA007213-028,0.007,,mg/L,1,12.1,0.0012,0.0013,30.03
,SA007213-029,0.061,,mg/L,1,1.4,0.0102,0.0014,30
,SA007213-030,0.0766,,mg/L,1,1.2,0.0128,0.0011,30.03
,PATRON,0.4891,,mg/L,1,1.8,0.0191,0.0019,
,BLANCO,-0.0003,,mg/L,1,>100,0,0.0001,
,BLANCO REACTIVO,0,,mg/L,1,>100,-0.0002,-0.0003,
,SA007213-031,0.133,,mg/L,1,2.2,0.0223,0.001,30.02
,SA007213-032,0.1334,,mg/L,1,2.1,0.0224,0.0003,30.03
,PATRON,0.4841,,mg/L,1,0.4,0.0178,0.0011,
,BLANCO,-0.0094,,mg/L,1,71.2,-0.0003,-0.0001,
,BLANCO REACTIVO,0,,mg/L,1,>100,0,0.0012,
