BLANCO REACTIVO,0,,mg/L,76.1,0.0007,-0.0004,0.0013,0.0004,0.0004
TRITURADORA,0.0082,,mg/L,6.4,0.0009,0.0022,0.0009,0.001,0.0009
VICTORIA,0.0072,,mg/L,15.6,0.0009,0.0019,0.001,0.0007,0.0009
CELDA 1,0.0118,,mg/L,3.3,0.0011,0.0021,0.0011,0.0011,0.0011
CELDA 2,0.0103,,mg/L,49.9,0.001,0.0014,0.0013,0.0013,0.0004
CELDA 3,0.0106,,mg/L,47.6,0.001,0.0025,0.0005,0.0015,0.0011
CELDA 4A,0.0236,,mg/L,23.1,0.0017,0.0011,0.0021,0.0014,0.0016
CELDA 4B,0.0123,,mg/L,46.4,0.0011,0.0026,0.0017,0.0007,0.0009
CELDA 5A,0.008,,mg/L,67,0.0009,0.0019,0.0002,0.0011,0.0014
CELDA 5B,0.0154,,mg/L,27.2,0.0013,0.0018,0.0016,0.0009,0.0014
PATRON,0.0465,,mg/L,15.3,0.0029,-0.001,0.0033,0.0024,0.0029
BLANCO,-0.0117,,mg/L,>100,-0.0001,-0.001,-0.0001,0.0001,-0.0003
BLANCO REACTIVO,0,,mg/L,59.6,0.0009,-0.0003,0.0005,0.0007,0.0015
BLANCO,-0.0064,,mg/L,>100,0.0002,-0.0015,0,0.0008,-0.0002
