Analista,Martin A,,,,,,,,,
Fecha de inicio,20/04/2024 01:09 p. m.  GMT: 20/04/2024 07:09 p. m.,,,,,,,,,
Hoja de trabajo,SA003621_3,,,,,,,,,
Comentario,,,,,,,,,,
Métodos,Au,,,,,,,,,
,,,,,,,,,,
Método: Au EFAA30 (Llama),,,,,,,,,,
,,,,,,,,,,
,PATRON,0.489,,mg/L,4,0.0156,0.0002,0.0151,0.0163,0.0154
,BLANCO,-0.0076,,mg/L,>100,-0.0002,-0.0001,-0.0005,0.0003,-0.0006
,BLANCO REACTIVO,0,,mg/L,>100,-0.0002,0.0002,0.0001,-0.0008,0.0001
,SA003621-001,0.266,,mg/L,1.7,0.0243,-0.0007,0.024,0.0248,0.0242
,SA003621-002,1.7529,,mg/L,1.3,0.1612,-0.0004,0.1601,0.1599,0.1637
,SA003621-003,0.0047,,mg/L,>100,0.0004,-0.0006,0.0008,0.0007,-0.0003
,SA003621-004,0.0904,,mg/L,10.8,0.0082,-0.0007,0.0075,0.0081,0.0092
,SA003621-005,0.4808,,mg/L,1.6,0.0441,-0.0006,0.0445,0.0445,0.0433
,PATRON,0.4909,,mg/L,3.7,0.0156,0.0002,0.0163,0.0153,0.0153
,SA003621-006,0.0865,,mg/L,4.2,0.0079,-0.0007,0.008,0.0082,0.0075
,SA003621-007,0.3839,,mg/L,1.2,0.0352,-0.0004,0.0356,0.0348,0.0352
,SA003621-008,0.3162,,mg/L,2.5,0.0289,-0.0001,0.0297,0.0287,0.0283
,SA003621-009,0.2497,,mg/L,2.1,0.0228,-0.0007,0.0228,0.0233,0.0223
,SA003621-010,0.3791,,mg/L,2.1,0.0348,-0.0001,0.0349,0.034,0.0355
,PATRON,0.5113,,mg/L,2.7,0.0163,-0.0005,0.0163,0.0159,0.0168
,BLANCO,0.0056,,mg/L,>100,0.0002,0.0002,0.0007,-0.0005,0.0003
,BLANCO REACTIVO,0,,mg/L,>100,0.0003,0,-0.0003,0.0003,0.0008
,SA003621-011,0.6715,,mg/L,1.4,0.0618,-0.0002,0.0608,0.0621,0.0624
,SA003621-012,0.7333,,mg/L,15.4,0.0675,0.0001,0.0739,0.0731,0.0556
,SA003621-013,0.2132,,mg/L,2.3,0.0195,-0.0003,0.0193,0.02,0.0191
,SA003621-014,1.7444,,mg/L,0.9,0.1606,0.0005,0.1611,0.1617,0.159
,SA003621-015,0.7056,,mg/L,0.8,0.0649,0.0001,0.0654,0.0643,0.0651
,PATRON,0.496,,mg/L,1.9,0.0158,0.0002,0.0162,0.0157,0.0156
,SA003621-016,0.6205,,mg/L,0.8,0.057,-0.0008,0.0569,0.0575,0.0566
,SA003621-017,0.0036,,mg/L,75.9,0.0003,-0.0006,0.0004,0.0005,0
,SA003621-018,0.3037,,mg/L,0.5,0.0278,-0.0005,0.028,0.0279,0.0277
,SA003621-019,0.3153,,mg/L,2.3,0.0289,-0.0004,0.0296,0.0289,0.0282
,SA003621-020,0.3919,,mg/L,1.7,0.0359,-0.0004,0.0352,0.0361,0.0364
,PATRON,0.4891,,mg/L,0.8,0.0156,0,0.0157,0.0156,0.0155
,BLANCO,0.0048,,mg/L,>100,0.0002,-0.001,0.0003,0.0001,0.0001
,BLANCO REACTIVO,0,,mg/L,65.3,0.0004,-0.0003,0.0004,0.0006,0.0001
,SA003621-021,0.3899,,mg/L,1.1,0.0358,-0.0001,0.0361,0.0353,0.0359
,SA003621-022,0.4487,,mg/L,2.5,0.0411,-0.0003,0.0399,0.0418,0.0417
,SA003621-023,0.341,,mg/L,0.7,0.0312,-0.0006,0.0311,0.0314,0.031
,SA003621-024,0.3271,,mg/L,1.6,0.03,-0.0005,0.0296,0.0305,0.0299
,SA003621-025,0.5806,24.06174626,mg/L,1.8,0.0534,-0.0008,0.0543,0.0524,0.0534
,PATRON,0.4952,,mg/L,1,0.0158,0,0.0159,0.0156,0.0158
,SA003621-026,0.4559,,mg/L,1.6,0.0418,-0.0009,0.042,0.0424,0.0411
,SA003621-027,0.4096,,mg/L,0.5,0.0375,-0.001,0.0376,0.0377,0.0374
,SA003621-028,0.3158,,mg/L,1.1,0.0289,-0.0006,0.0291,0.0285,0.029
,SA003621-029,0.4135,,mg/L,1.6,0.0379,-0.0003,0.0386,0.0376,0.0375
,SA003621-030,0.3705,,mg/L,2.8,0.0339,-0.0004,0.0342,0.0346,0.0328
,PATRON,0.4899,,mg/L,2.4,0.0156,0.0002,0.0158,0.0158,0.0152
,BLANCO,-0.0018,,mg/L,>100,-0.0001,0.0003,-0.0002,0,0.0001
,BLANCO REACTIVO,0,,mg/L,>100,-0.0001,-0.0001,-0.0005,0.0001,0.0001
,SA003621-031,0.3718,,mg/L,1.7,0.034,-0.0005,0.0335,0.0347,0.0339
,SA003621-032,1.0287,,mg/L,0.4,0.0971,-0.0005,0.0969,0.0969,0.0975
,PATRON,0.5134,,mg/L,1.3,0.0164,0.0002,0.0162,0.0166,0.0163
,BLANCO,0.0033,,mg/L,>100,0.0001,-0.0006,-0.0005,0.0002,0.0006
,BLANCO REACTIVO,0,,mg/L,>100,0.0004,-0.0007,-0.0007,0.0006,0.0012
