Analista,,,,,,,,,,,,
Fecha de inicio,04/04/2023 05:54 p. m.  GMT: 04/04/2023 10:54 p. m.,,,,,,,,,,,
Hoja de trabajo,SA000871_3,,,,,,,,,,,
Comentario,,,,,,,,,,,,
Métodos,Au,,,,,,,,,,,
,,,,,,,,,,,,
Método: Au EFAA30 (Llama),,,,,,,,,,,,
,,,,,,,,,,,,
,PATRON,0.5129,,mg/L,3.3,0.016,-0.0009,0.0158,0.0155,0.0166,,
,BLANCO,-0.0037,,mg/L,>100,-0.0001,0,-0.0004,-0.0001,0.0001,,
,BLANCO REACTIVO,0,,mg/L,34.6,0.0018,-0.002,0.0022,0.0011,0.0021,,
,SA000871-001,0.0919,,mg/L,6.9,0.0081,-0.0032,0.0078,0.0088,0.0078,,
,SA000871-002,0.2026,,mg/L,4.5,0.0188,-0.0014,0.0196,0.0179,0.0189,,
,SA000871-003,0.2548,,mg/L,3.1,0.0228,-0.0042,0.0233,0.022,0.0232,,
,SA000871-004,0.1367,,mg/L,1.3,0.0121,-0.0035,0.0122,0.0119,0.0121,,
,SA000871-005,0.6249,,mg/L,1.5,0.0591,-0.0017,0.0599,0.0582,0.0592,,
,PATRON,0.496,,mg/L,3.3,0.0164,-0.0016,0.017,0.0159,0.0163,,
,SA000871-006,0.1191,,mg/L,9.8,0.0112,-0.0016,0.0125,0.0104,0.0108,,
,SA000871-007,0.1648,,mg/L,4.9,0.0156,-0.0013,0.0162,0.0158,0.0147,,
,SA000871-008,0.1831,,mg/L,2.7,0.0173,-0.0016,0.0168,0.0177,0.0175,,
,SA000871-009,0.1731,,mg/L,1.3,0.0163,-0.0018,0.0166,0.0162,0.0163,,
,SA000871-010,0.4461,,mg/L,1,0.0418,-0.0011,0.0423,0.0418,0.0414,,
,PATRON,0.4983,,mg/L,4,0.0162,-0.0013,0.0167,0.0155,0.0165,,
,BLANCO,0.0096,,mg/L,>100,0.0003,0.0001,0.0006,-0.0002,0.0005,,
,BLANCO REACTIVO,0,,mg/L,65.5,-0.0005,0.0004,-0.0003,-0.0003,-0.0009,,
,SA000871-011,0.5313,,mg/L,0.8,0.0501,-0.0008,0.0496,0.0504,0.0502,,
,SA000871-012,0.1129,,mg/L,2.5,0.0105,0.0002,0.0107,0.0106,0.0102,,
,SA000871-013,0.1402,,mg/L,15.5,0.013,0.0005,0.0137,0.0146,0.0108,,
,SA000871-014,0.5737,,mg/L,0.9,0.0539,-0.0002,0.0535,0.0544,0.0538,,
,SA000871-015,0.275,,mg/L,1.1,0.0256,-0.0001,0.0256,0.0254,0.0259,,
,PATRON,0.5037,,mg/L,3.3,0.0164,-0.0004,0.0167,0.0166,0.0158,,
,SA000871-016,0.3837,,mg/L,0.6,0.0358,0,0.0361,0.0358,0.0357,,
,SA000871-017,0.2741,,mg/L,4.8,0.0256,0.0006,0.0267,0.0243,0.0257,,
,SA000871-018,0.134,,mg/L,5.1,0.0124,0.0007,0.0117,0.013,0.0126,,
,SA000871-019,0.156,,mg/L,1.1,0.0145,0.0003,0.0143,0.0146,0.0146,,
,SA000871-020,0.2162,,mg/L,2.9,0.0201,0,0.0201,0.0196,0.0207,,
,PATRON,0.5,,mg/L,2.9,0.0163,-0.0001,0.0165,0.0165,0.0157,,
,BLANCO,-0.0054,,mg/L,>100,-0.0002,0.0006,-0.0001,0.0001,-0.0005,,
,BLANCO REACTIVO,0,,mg/L,>100,-0.0001,0.0001,-0.0001,0.0002,-0.0004,,
,SA000871-021,0.1335,,mg/L,2,0.0124,0.0002,0.0126,0.0121,0.0124,,
,SA000871-022,0.1283,,mg/L,9.3,0.0119,0.0003,0.0107,0.0129,0.0122,,
,SA000871-023,0.2959,,mg/L,3,0.0276,0.0007,0.027,0.0272,0.0285,,
,SA000871-024,0.3072,,mg/L,1.5,0.0286,-0.0001,0.0291,0.0283,0.0286,,
,SA000871-025,0.116,,mg/L,2.9,0.0108,-0.0002,0.0107,0.0105,0.0111,,
,PATRON,0.5087,,mg/L,2,0.0165,-0.001,0.0162,0.0169,0.0166,,
,SA000871-026,0.2476,,mg/L,0.9,0.0231,-0.0006,0.0232,0.0231,0.0228,,
,SA000871-027,0.2008,,mg/L,3.8,0.0187,-0.0003,0.0183,0.0195,0.0183,,
,SA000871-028,0.2035,,mg/L,1,0.0189,-0.0003,0.0191,0.0187,0.019,,
,SA000871-029,0.0056,,mg/L,98.6,0.0005,-0.0003,0.0006,0,0.0009,,
,SA000871-030,0.2034,,mg/L,1.7,0.0189,0,0.0186,0.0189,0.0192,,
,PATRON,0.5033,,mg/L,2.4,0.0164,-0.0006,0.0168,0.0161,0.0162,,
,BLANCO,0,,mg/L,>100,0,-0.0006,0.0004,0.0002,-0.0006,,
,BLANCO REACTIVO,0,,mg/L,>100,-0.0003,0.0004,-0.0007,-0.0002,-0.0001,,
,SA000871-031,-0.0003,,mg/L,>100,0,-0.0015,0.0001,-0.0003,0,,
,SA000871-032,0.2618,,mg/L,0.7,0.0244,-0.001,0.0242,0.0244,0.0246,,
,PATRON,0.4849,,mg/L,1.4,0.0153,-0.0007,0.0154,0.015,0.0153,,
,BLANCO,-0.0032,,mg/L,>100,-0.0001,0.0002,0.0007,-0.0001,-0.0009,,
,BLANCO REACTIVO,0,,mg/L,70,-0.0004,0.0001,-0.0006,-0.0001,-0.0005,,
