PATRON,1.0026,,mg/L,0.2,0.0003,0.1344,0.0007,0.1342,0.1348,0.1343
BLANCO,0.0055,,mg/L,9.7,0.0001,0.0007,-0.0005,0.0007,0.0007,0.0008
BLANCO REACTIVO,0,,mg/L,14.5,0.0001,0.0009,-0.0007,0.0008,0.0009,0.001
H KCA PO,0.0485,,mg/L,3.9,0.0003,0.0065,-0.0001,0.0067,0.0062,0.0067
H KCA PO,0.0502,,mg/L,4.8,0.0003,0.0067,-0.0002,0.0065,0.0071,0.0066
H KCA PO,0.0466,,mg/L,1.6,0.0001,0.0063,0.0004,0.0062,0.0062,0.0064
PATRON,0.9886,,mg/L,0.3,0.0004,0.1326,-0.001,0.1328,0.1321,0.1328
H KCA PO,0.0506,,mg/L,0.7,0,0.0068,-0.0002,0.0068,0.0068,0.0067
H KCA PO,0.0485,,mg/L,6.3,0.0004,0.0065,0.0001,0.0066,0.0061,0.0069
PATRON,1.0001,,mg/L,0.4,0.0005,0.1341,-0.0013,0.1342,0.1346,0.1336
BLANCO,0.0015,,mg/L,90.4,0.0002,0.0002,-0.0018,0.0002,0,0.0004
BLANCO REACTIVO,0,,mg/L,13.5,0.0002,0.0015,-0.0012,0.0016,0.0015,0.0012
M1 PO,0.0337,,mg/L,10.6,0.0005,0.0045,-0.0006,0.005,0.004,0.0046
M2 PO,0.0475,,mg/L,6.7,0.0004,0.0064,-0.0007,0.0069,0.006,0.0063
M3 PO,0.0501,,mg/L,2.1,0.0001,0.0067,-0.0011,0.0069,0.0067,0.0066
M4 PO,0.0443,,mg/L,4.4,0.0003,0.006,-0.0005,0.0057,0.0061,0.0061
PATRON,0.9992,,mg/L,0.5,0.0006,0.134,-0.0017,0.1345,0.1342,0.1333
P KCA PO,0.0436,,mg/L,8.7,0.0005,0.0059,-0.0005,0.0064,0.0058,0.0054
PATRON,0.9945,,mg/L,0.2,0.0003,0.1334,-0.0017,0.1331,0.1337,0.1333
BLANCO,-0.0037,,mg/L,39.5,0.0002,-0.0005,-0.002,-0.0005,-0.0007,-0.0003
BLANCO REACTIVO,0,,mg/L,22.9,0.0004,0.0016,-0.0011,0.0012,0.0017,0.0019
CELDA 8,0.039,,mg/L,6.8,0.0004,0.0052,-0.0004,0.0056,0.005,0.0051
PATRON,1.0132,,mg/L,0.6,0.0008,0.1359,-0.0016,0.1366,0.136,0.135
BLANCO,0.0006,,mg/L,>100,0.0005,0.0001,-0.0023,0.0007,-0.0003,-0.0001
BLANCO REACTIVO,0,,mg/L,38.3,0.0007,0.0017,-0.0013,0.0012,0.0024,0.0015
H KCA PE,0.0054,,mg/L,31.2,0.0002,0.0007,-0.0009,0.0005,0.0007,0.001
H KCA PE,0.0057,,mg/L,67.6,0.0005,0.0008,-0.001,0.0009,0.0002,0.0012
H KCA PE,0.0055,,mg/L,16.6,0.0001,0.0007,-0.001,0.0009,0.0008,0.0006
PATRON,1.0145,,mg/L,0.1,0.0002,0.136,-0.002,0.1361,0.1358,0.1361
H KCA PE,0.0045,,mg/L,76.2,0.0005,0.0006,-0.0009,0.0003,0.0011,0.0004
H KCA PE,0.0039,,mg/L,15.9,0.0001,0.0005,-0.0008,0.0006,0.0005,0.0004
PATRON,1.0109,,mg/L,0.9,0.0013,0.1355,-0.0021,0.1354,0.1369,0.1344
BLANCO,0.0043,,mg/L,48,0.0003,0.0006,-0.003,0.0009,0.0003,0.0006
BLANCO REACTIVO,0,,mg/L,7.3,0.0002,0.0024,-0.0017,0.0026,0.0024,0.0022
M1 PE,0.003,,mg/L,55,0.0002,0.0004,-0.0012,0.0003,0.0002,0.0006
M2 PE,0.0051,,mg/L,43.5,0.0003,0.0007,-0.0011,0.0006,0.0005,0.001
M3 PE,0.006,,mg/L,31.6,0.0003,0.0008,-0.0013,0.0007,0.0011,0.0006
M4 PE,0.0092,,mg/L,29.6,0.0004,0.0012,-0.0014,0.0016,0.0012,0.0009
PATRON,1.0173,,mg/L,0.1,0.0001,0.1391,0.0013,0.139,0.1392,0.1391
P KCA PE,0.0068,,mg/L,31.8,0.0003,0.0009,0.002,0.0006,0.0011,0.0011
PATRON,1.0115,,mg/L,0.2,0.0002,0.1383,0.001,0.138,0.1384,0.1385
BLANCO,0.0001,,mg/L,>100,0.0003,0,0,-0.0001,0.0004,-0.0002
BLANCO REACTIVO,0,,mg/L,21.3,0.0005,0.0024,-0.0015,0.0028,0.0026,0.0018
ELY 1,0.0043,,mg/L,29.7,0.0002,0.0006,-0.0021,0.0007,0.0004,0.0007
ELY 2,0.0036,,mg/L,39.3,0.0002,0.0005,-0.0018,0.0004,0.0007,0.0004
ELY 3,0.0045,,mg/L,48.6,0.0003,0.0006,-0.0022,0.0009,0.0003,0.0006
ELY 4,0.0066,,mg/L,21.4,0.0002,0.0009,-0.002,0.0007,0.0011,0.0009
PATRON,0.9971,,mg/L,0.3,0.0004,0.1364,-0.0033,0.1365,0.1367,0.1359
ELY P,0.009,,mg/L,2.2,0,0.0012,-0.0022,0.0013,0.0012,0.0012
PATRON,0.9827,,mg/L,0.6,0.0008,0.1344,-0.0029,0.1344,0.1352,0.1336
BLANCO,0.0028,,mg/L,26.4,0.0001,0.0004,-0.0039,0.0003,0.0005,0.0004
BLANCO REACTIVO,0,,mg/L,6.2,0.0002,0.0033,-0.0019,0.0033,0.0031,0.0035
