Analista,NR,,,,,,,,,,,,
Fecha de inicio,06/02/2026 12:54 p. m.  GMT: 06/02/2026 06:54 p. m.,,,,,,,,,,,,
Hoja de trabajo,SA007914,,,,,,,,,,,,
Comentario,,,,,,,,,,,,,
Métodos,Au,,,,,,,,,,,,
,,,,,,,,,,,,,
Método: Au EFAA30 (Llama),,,,,,,,,,,,,
,,,,,,,,,,,,,
,PATRON,0.4989,,mg/L,1.7,0.0197,0.0019,,,,0.0196,0.0194,0.0201
,BLANCO,-0.0049,,mg/L,46,-0.0002,0.0045,,,,-0.0003,-0.0002,-0.0001
,BLANCO REACTIVO,0,,mg/L,31.9,-0.0024,0.0016,,,,-0.0015,-0.0028,-0.0028
,SA007914-001,0.2429,,mg/L,1.1,0.0412,0.004,30.02,,,0.0409,0.0417,0.0411
,SA007914-002,0.114,,mg/L,2.7,0.0193,0.0027,30.01,,,0.0198,0.0193,0.0188
,SA007914-003,0.1228,,mg/L,0.4,0.0208,0.0044,30,,,0.0208,0.0208,0.0207
,SA007914-004,0.2807,,mg/L,0.9,0.0477,0.0033,30.01,,,0.0472,0.0481,0.0478
,SA007914-005,0.286,,mg/L,1.3,0.0486,0.0033,30,,,0.0483,0.0481,0.0493
,PATRON,0.5192,,mg/L,2.8,0.0205,0.0043,,,,0.0206,0.021,0.0199
,SA007914-006,0.4953,,mg/L,1.6,0.0844,0.0025,30,,,0.086,0.0833,0.0839
,SA007914-007,0.1412,,mg/L,0.8,0.0239,0.0039,30,,,0.024,0.024,0.0237
,SA007914-008,0.1255,,mg/L,1.6,0.0212,0.0039,30.01,,,0.0216,0.0213,0.0209
,SA007914-009,0.565,,mg/L,0.1,0.0964,0.0022,30.03,,,0.0964,0.0964,0.0965
,SA007914-010,2.1115,,mg/L,0.4,0.3514,0.0029,30.02,,,0.3501,0.3527,0.3513
,PATRON,0.5171,,mg/L,3.2,0.0204,0.0043,,,,0.0207,0.0209,0.0197
,BLANCO,0.004,,mg/L,>100,0.0002,0.0041,,,,0,0.0001,0.0003
,BLANCO REACTIVO,0,,mg/L,9.9,-0.0022,0.0019,,,,-0.002,-0.0021,-0.0024
,SA007914-011,0.057,,mg/L,5.1,0.0096,0.0043,30.01,,,0.0098,0.0091,0.01
,SA007914-012,0.0363,,mg/L,7.3,0.0061,0.0054,30,,,0.0056,0.0063,0.0064
,SA007914-013,0.0253,,mg/L,8.4,0.0043,0.0048,30.01,,,0.0045,0.0039,0.0045
,SA007914-014,0.0573,,mg/L,3.3,0.0097,0.0051,30.01,,,0.01,0.0093,0.0097
,SA007914-015,0.0314,,mg/L,7.3,0.0053,0.0043,30,,,0.005,0.0052,0.0057
,PATRON,0.496,,mg/L,2.4,0.0196,0.0057,,,,0.02,0.0191,0.0196
,SA007914-016,0.0602,,mg/L,3.5,0.0102,0.0054,3,,,0.0101,0.0098,0.0105
,SA007914-017,0.0583,,mg/L,2.9,0.0098,0.0047,30.01,,,0.0101,0.0095,0.0099
,SA007914-018,0.8886,,mg/L,1.3,0.1518,0.0055,30,,,0.1541,0.1503,0.1511
,SA007914-019,0.692,,mg/L,1.8,0.1182,0.0042,30.02,,,0.116,0.1183,0.1203
,SA007914-020,0.0019,,mg/L,36.7,0.0003,0.005,30.03,,,0.0002,0.0004,0.0004
,PATRON,0.5056,,mg/L,1.7,0.02,0.0059,,,,0.0203,0.0199,0.0196
,BLANCO,0.0054,,mg/L,>100,0.0002,0.005,,,,-0.0002,0.0005,0.0004
,BLANCO REACTIVO,0,,mg/L,14.2,-0.0019,0.0035,,,,-0.0022,-0.0018,-0.0017
,SA007914-021,0.2412,,mg/L,0.5,0.0409,0.0049,30,,,0.041,0.0411,0.0407
,SA007914-022,0.1785,,mg/L,0.7,0.0303,0.0049,30.03,,,0.0305,0.0301,0.0302
,SA007914-023,0.3033,,mg/L,0.5,0.0516,0.0048,30,,,0.0515,0.0514,0.0518
,SA007914-024,0.5092,,mg/L,0.3,0.0869,0.0043,30.04,,,0.0867,0.0868,0.0872
,SA007914-025,0.2251,,mg/L,1.8,0.0382,0.0048,30.01,,,0.0382,0.0375,0.0389
,PATRON,0.4968,,mg/L,3,0.0196,0.0064,,,,0.019,0.0202,0.0196
,SA007914-026,0.0002,,mg/L,>100,0,0.0059,3,,,0,0,0
,SA007914-027,0.1596,,mg/L,1.2,0.0271,0.0056,30.02,,,0.0274,0.027,0.0268
,SA007914-028,0.0514,,mg/L,4.1,0.0087,0.0056,30,,,0.0088,0.0083,0.009
,SA007914-029,0.1014,,mg/L,4.8,0.0171,0.0058,30,,,0.017,0.0164,0.018
,SA007914-030,0.1385,,mg/L,0.9,0.0235,0.0059,30.01,,,0.0233,0.0234,0.0237
,PATRON,0.4965,,mg/L,2.2,0.0196,0.0066,,,,0.0191,0.0199,0.0198
,BLANCO,-0.0064,,mg/L,>100,-0.0002,0.0054,,,,-0.0005,-0.0004,0.0002
,BLANCO REACTIVO,0,,mg/L,25.1,-0.0018,0.0037,,,,-0.0022,-0.0013,-0.0019
,SA007914-031,0.0969,,mg/L,1.4,0.0164,0.0055,30,,,0.0165,0.0161,0.0165
,SA007914-032,0.6278,,mg/L,0.3,0.1072,0.0042,30.01,,,0.1073,0.1074,0.1068
,PATRON,0.5299,,mg/L,1.2,0.0209,0.0055,,,,0.0211,0.021,0.0206
,BLANCO,0.0052,,mg/L,80,0.0002,0.0053,,,,0,0.0003,0.0003
,BLANCO REACTIVO,0,,mg/L,28.9,-0.0017,0.0036,,,,-0.0021,-0.0016,-0.0012
