Analista,GGP,,,,,,,,,,,,
Fecha de inicio,05/10/2024 11:58 a. m.  GMT: 05/10/2024 05:58 p. m.,,,,,,,,,,,,
Hoja de trabajo,SA005638_3,,,,,,,,,,,,
Comentario,,,,,,,,,,,,,
Métodos,Au,,,,,,,,,,,,
,,,,,,,,,,,,,
Peso nominal,1,Volumen nominal,1,Nominal Dilution,1,,,,,,,,
Método: Au EFAA30 (Llama),,,,,,,,,,,,,
,,,,,,,,,,,,,
,PATRON,0.4971,,mg/L,2.7,0.0165,0.0007,1,1,1,0.0169,0.0167,0.016
,BLANCO,0.0018,,mg/L,68.1,0.0001,-0.0004,1,1,1,0,0.0001,0.0001
,BLANCO REACTIVO,0,,mg/L,33.2,-0.0006,0.0002,1,1,1,-0.0004,-0.0006,-0.0009
,SA005638-001,0.4713,,mg/L,0.4,0.0463,-0.0019,20.01,7,1,0.0462,0.0465,0.0462
,SA005638-002,0.038,,mg/L,4.3,0.0037,-0.0025,20.03,7,1,0.0036,0.0037,0.0039
,SA005638-003,0.0046,,mg/L,12.6,0.0005,-0.0025,20.048,7,1,0.0005,0.0005,0.0004
,SA005638-004,0.0868,,mg/L,3.2,0.0085,-0.0027,20,7,1,0.0083,0.0085,0.0088
,SA005638-005,0.0499,,mg/L,4.8,0.0047,0.0011,20.021,7,1,0.0049,0.0049,0.0045
,PATRON,0.4953,,mg/L,0.1,0.0165,0.0016,1,1,1,0.0165,0.0165,0.0165
,SA005638-006,-0.0001,,mg/L,>100,0,0.0003,20.016,7,1,-0.0002,0.0001,0
,SA005638-007,0.0906,,mg/L,1.1,0.0086,0.001,20.031,7,1,0.0086,0.0087,0.0085
,SA005638-008,0.0013,,mg/L,>100,0.0001,0.0008,20,7,1,0.0001,0,0.0003
,SA005638-009,0.0755,,mg/L,2.9,0.0072,0.0011,20.031,7,1,0.0074,0.007,0.0071
,SA005638-010,0.0351,,mg/L,7.7,0.0033,0.0012,20.019,7,1,0.0032,0.0036,0.0032
,PATRON,0.4954,,mg/L,1.7,0.0165,0.0016,1,1,1,0.0165,0.0162,0.0168
,BLANCO,0.0095,,mg/L,41.7,0.0003,0.0004,1,1,1,0.0004,0.0003,0.0002
,BLANCO REACTIVO,0,,mg/L,19.9,-0.0008,0.0003,1,1,1,-0.0007,-0.0008,-0.001
,SA005638-011,0.0242,,mg/L,3.7,0.0023,0.0007,20.019,7,1,0.0022,0.0023,0.0024
,SA005638-012,0.0305,,mg/L,4.5,0.0029,0.0012,20.034,7,1,0.003,0.0028,0.0029
,SA005638-013,0.0283,,mg/L,18.2,0.0027,0.0007,20.022,7,1,0.0029,0.0021,0.0031
,SA005638-014,0.0197,,mg/L,7.3,0.0019,0.001,20.021,7,1,0.002,0.0017,0.002
,SA005638-015,0.1135,,mg/L,2,0.0108,0.0009,20.038,7,1,0.011,0.0106,0.0109
,PATRON,0.5011,,mg/L,0.6,0.0167,0.0016,1,1,1,0.0166,0.0167,0.0167
,SA005638-016,0.1848,,mg/L,2.1,0.0176,0.0008,20.041,7,1,0.0172,0.0178,0.0178
,SA005638-017,0.0989,,mg/L,2.2,0.0094,0.0009,20.026,7,1,0.0095,0.0096,0.0092
,SA005638-018,0.122,,mg/L,4,0.0116,0.0007,20.035,7,1,0.0117,0.0111,0.0121
,SA005638-019,0.1412,,mg/L,2,0.0134,0.001,20.021,7,1,0.0137,0.0133,0.0133
,SA005638-020,0.1418,,mg/L,0.9,0.0135,0.0006,20.016,7,1,0.0134,0.0136,0.0135
,PATRON,0.5125,,mg/L,1.7,0.0171,0.001,1,1,1,0.0174,0.0169,0.0169
,BLANCO,0.0108,,mg/L,46.5,0.0004,0.0002,1,1,1,0.0003,0.0006,0.0003
,BLANCO REACTIVO,0,,mg/L,22.4,-0.0006,-0.0003,1,1,1,-0.0004,-0.0006,-0.0007
,SA005638-021,0.1286,,mg/L,1.3,0.0122,0.0005,20.013,7,1,0.0121,0.0124,0.0122
,SA005638-022,0.116,,mg/L,1.1,0.011,0.0005,20.031,7,1,0.0112,0.0109,0.011
,SA005638-023,0.1006,,mg/L,0.5,0.0096,0.0004,20.025,7,1,0.0095,0.0096,0.0095
,SA005638-024,0.0027,,mg/L,82,0.0003,0.0005,20.038,7,1,0.0004,0.0004,0
,SA005638-025,0.1274,,mg/L,0.5,0.0121,0.0004,20.04,7,1,0.0122,0.0121,0.0122
,PATRON,0.5015,,mg/L,0.3,0.0167,0.001,1,1,1,0.0166,0.0167,0.0167
,SA005638-026,0.2111,,mg/L,1,0.0201,0.0006,20.009,7,1,0.0199,0.0201,0.0203
,PATRON,0.4922,,mg/L,1.4,0.0164,0.0012,1,1,1,0.0165,0.0165,0.0161
,BLANCO,0.001,,mg/L,>100,0,0.0001,1,1,1,0.0001,0.0001,-0.0001
,BLANCO REACTIVO,0,,mg/L,29.4,-0.0005,-0.0005,1,1,1,-0.0005,-0.0006,-0.0003
