Analista,CCPR,,,,,,,,,,,,
Fecha de inicio,26/09/2024 09:12 a. m.  GMT: 26/09/2024 03:12 p. m.,,,,,,,,,,,,
Hoja de trabajo,SA005619_3,,,,,,,,,,,,
Comentario,,,,,,,,,,,,,
Métodos,Au,,,,,,,,,,,,
,,,,,,,,,,,,,
Peso nominal,1,Volumen nominal,1,Nominal Dilution,1,,,,,,,,
Método: Au EFAA30 (Llama),,,,,,,,,,,,,
,,,,,,,,,,,,,
,PATRON,0.4916,,mg/L,2.9,0.0137,0.0002,,,,0.0136,0.0134,0.0141
,BLANCO,0.0123,,mg/L,25.6,0.0003,-0.0009,,,,0.0002,0.0004,0.0004
,BLANCO REACTIVO,0,,mg/L,9,0.0013,-0.0021,,,,0.0012,0.0012,0.0014
,SA005619-001,0.0356,,mg/L,12.3,0.0028,-0.0005,20.04,,,0.0025,0.0032,0.0027
,SA005619-002,0.0018,,mg/L,>100,0.0001,-0.0014,20,,,0.0002,0.0005,-0.0002
,SA005619-003,0.1069,,mg/L,4.2,0.0085,-0.0008,19.99,,,0.0081,0.0088,0.0086
,SA005619-004,0.1169,,mg/L,7.1,0.0093,-0.0028,20.03,,,0.0086,0.0093,0.01
,SA005619-005,-0.0051,,mg/L,64.8,-0.0004,-0.0006,2,,,-0.0007,-0.0003,-0.0002
,PATRON,0.5025,,mg/L,2.5,0.014,-0.0007,,,,0.014,0.0144,0.0137
,SA005619-006,0.1343,,mg/L,4.2,0.0107,-0.0017,20.06,,,0.0103,0.0112,0.0107
,SA005619-007,0.1331,,mg/L,2.8,0.0106,-0.0026,20.01,,,0.0108,0.0102,0.0108
,SA005619-008,0.1448,,mg/L,4.1,0.0115,-0.002,19.98,,,0.0119,0.0116,0.011
,SA005619-009,0.0021,,mg/L,98.7,0.0002,-0.0018,19.98,,,0.0003,0.0001,0.0001
,SA005619-010,0.1206,,mg/L,0.9,0.0096,-0.0019,20.04,,,0.0096,0.0097,0.0095
,PATRON,0.5243,,mg/L,5.5,0.0146,-0.0026,,,,0.0137,0.0149,0.0152
,BLANCO,0.008,,mg/L,>100,0.0002,-0.0024,,,,0.0005,-0.0001,0.0002
,BLANCO REACTIVO,0,,mg/L,>100,-0.0001,-0.0027,,,,0.0001,-0.0001,-0.0003
