Analista,,,,,,,,,
Fecha de inicio,02/04/2023 12:19 a. m.  GMT: 02/04/2023 06:19 a. m.,,,,,,,,
Hoja de trabajo,SA000844_3,,,,,,,,
Comentario,,,,,,,,,
Métodos,Ag,,,,,,,,
,,,,,,,,,
Método: Ag HCL (Llama),,,,,,,,,
,,,,,,,,,
,PATRON,1.007,,mg/L,0.3,0.1372,0.137,0.137,0.1377
,BLANCO,0.0002,,mg/L,>100,0,0,0.0001,-0.0001
,BLANCO REACTIVO,0,,mg/L,46.6,-0.0002,-0.0001,-0.0003,-0.0003
,SA000844-001,13.5342,,mg/L,0.1,0.076,0.0759,0.0762,0.076
,SA000844-002,13.6463,,mg/L,0.3,0.077,0.0771,0.0768,0.0771
,SA000844-003,14.137,,mg/L,0.8,0.0797,0.079,0.0802,0.08
,SA000844-004,7.0613,,mg/L,0.3,0.0393,0.0395,0.0393,0.0392
,SA000844-005,OVER,R,mg/L,0,0.7832,0.7832,,
,PATRON,1.0181,,mg/L,0.5,0.1387,0.1392,0.139,0.1379
,SA000844-006,7.7041,,mg/L,0.4,0.0435,0.0436,0.0433,0.0435
,SA000844-007,6.593,,mg/L,0.6,0.0374,0.0374,0.0372,0.0376
,SA000844-008,13.0357,,mg/L,0.9,0.0729,0.0722,0.073,0.0734
,SA000844-009,23.0786,,mg/L,0.5,0.1286,0.1279,0.1292,0.1286
,SA000844-010,0.1831,,mg/L,16.7,0.001,0.0012,0.0009,0.0009
,PATRON,1.0081,,mg/L,0.6,0.1374,0.1365,0.138,0.1377
,BLANCO,0.0003,,mg/L,>100,0,0.0001,0.0001,-0.0001
,BLANCO REACTIVO,0,,mg/L,30.2,-0.0002,-0.0002,-0.0002,-0.0003
,SA000844-011,17.5718,,mg/L,0.4,0.0998,0.1002,0.0994,0.0997
,SA000844-012,7.7402,,mg/L,0.1,0.0434,0.0433,0.0434,0.0433
,SA000844-013,5.3326,,mg/L,0.5,0.0296,0.0295,0.0295,0.0297
,SA000844-014,6.3935,,mg/L,0.1,0.036,0.036,0.0361,0.036
,SA000844-015,6.7431,,mg/L,0.5,0.0379,0.038,0.0377,0.0381
,PATRON,1.0063,,mg/L,0.2,0.1372,0.1371,0.1375,0.1369
,SA000844-016,5.1922,,mg/L,0.4,0.0288,0.0289,0.0287,0.0287
,SA000844-017,4.0048,,mg/L,0.5,0.0224,0.0225,0.0223,0.0223
,SA000844-018,4.0735,,mg/L,0.3,0.0226,0.0225,0.0227,0.0227
,SA000844-019,4.8012,,mg/L,0.3,0.027,0.027,0.027,0.0271
,SA000844-020,7.3107,,mg/L,0.1,0.0406,0.0406,0.0406,0.0405
,PATRON,1.0029,,mg/L,0.4,0.1367,0.1368,0.1361,0.1372
,BLANCO,0.0007,,mg/L,>100,0.0001,0.0002,0.0002,-0.0001
,BLANCO REACTIVO,0,,mg/L,23.1,-0.0002,-0.0002,-0.0003,-0.0002
,SA000844-021,25.9747,,mg/L,0.4,0.1418,0.1417,0.1412,0.1424
,SA000844-022,4.3658,,mg/L,1,0.0242,0.0243,0.0244,0.024
,SA000844-023,4.2467,,mg/L,0.5,0.0237,0.0236,0.0236,0.0238
,SA000844-024,-0.0175,,mg/L,>100,-0.0001,-0.0001,-0.0002,0
,SA000844-025,3.9108,,mg/L,0.3,0.0218,0.0218,0.0217,0.0217
,PATRON,0.9996,,mg/L,0.6,0.1363,0.1365,0.1353,0.137
,SA000844-026,0.7134,,mg/L,2.4,0.004,0.0041,0.0039,0.0039
,SA000844-027,4.5571,,mg/L,0.9,0.0256,0.0254,0.0257,0.0258
,SA000844-028,8.4419,,mg/L,0.4,0.0476,0.0474,0.0475,0.0478
,SA000844-029,9.6432,,mg/L,0.3,0.0548,0.0548,0.0546,0.0549
,SA000844-030,8.3576,,mg/L,0.3,0.0463,0.0463,0.0464,0.0461
,PATRON,1.0041,,mg/L,0.3,0.1369,0.1369,0.1373,0.1364
,BLANCO,0.0008,,mg/L,>100,0.0001,0.0001,0.0003,0
,BLANCO REACTIVO,0,,mg/L,26,-0.0003,-0.0002,-0.0003,-0.0003
,SA000844-031,6.3029,,mg/L,0,0.0352,0.0352,0.0352,0.0352
,SA000844-032,32.2224,,mg/L,0.1,0.1766,0.1767,0.1764,0.1766
,PATRON,1.0031,,mg/L,0.5,0.1367,0.1361,0.1373,0.1369
,BLANCO,0.0014,,mg/L,84,0.0002,0.0001,0.0001,0.0004
,BLANCO REACTIVO,0,,mg/L,4.6,-0.0002,-0.0002,-0.0002,-0.0002
