PATRON,5.0214,,mg/L,0.3,0.0511,1,1,1,0.0511,0.051,0.0513
BLANCO,0.0131,,mg/L,>100,0.0001,1,1,1,0.0005,-0.0001,0.0001
BLANCO REACTIVO,0,,mg/L,3.4,0.0032,1,1,1,0.0031,0.0032,0.0033
FASE 1,0.0406,,mg/L,22.2,0.0004,1,1,1,0.0005,0.0003,0.0005
PATRON,5.102,,mg/L,1.1,0.0519,1,1,1,0.0513,0.0523,0.0522
FASE 2,0.0826,,mg/L,22.7,0.0009,1,1,1,0.0008,0.0007,0.0011
FASE 3,0.1197,,mg/L,12.2,0.0012,1,1,1,0.0011,0.0014,0.0012
PATRON,5.0614,,mg/L,0.4,0.0515,1,1,1,0.0513,0.0516,0.0517
BLANCO,-0.0196,,mg/L,45.3,-0.0002,1,1,1,-0.0001,-0.0003,-0.0002
BLANCO REACTIVO,0,,mg/L,7.6,0.0021,1,1,1,0.0023,0.002,0.0022
VSP NORTE,0.0394,,mg/L,38.2,0.0004,1,1,1,0.0004,0.0003,0.0006
CELDA 8.1,0.0626,,mg/L,10.7,0.0006,1,1,1,0.0007,0.0007,0.0006
CELDA 8.2,0.081,,mg/L,31.2,0.0008,1,1,1,0.0007,0.0007,0.0011
CELDA 8.3,2.6235,,mg/L,1.4,0.0269,1,1,1,0.0267,0.0273,0.0267
PATRON,5.0396,,mg/L,1,0.0513,1,1,1,0.0519,0.051,0.0511
BLANCO,-0.0025,,mg/L,>100,0,1,1,1,0,-0.0001,0
BLANCO REACTIVO,0,,mg/L,5.5,0.0032,1,1,1,0.0031,0.0034,0.0031
