PATRON,0.0506,,mg/L,14.4,0.0004,0.0025,0,0.0026,0.0028,0.0021
BLANCO,0.0044,,mg/L,23.3,0.0001,0.0003,-0.0002,0.0002,0.0002,0.0003
BLANCO REACTIVO,0,,mg/L,>100,0.0002,0.0001,0.0002,0.0003,-0.0001,0
H KCA PO,0.0607,,mg/L,5,0.0002,0.003,0.0016,0.0028,0.0031,0.0031
H KCA PO,0.0633,,mg/L,3.4,0.0001,0.0031,0.0015,0.0031,0.0031,0.0033
H KCA PO,0.064,,mg/L,6.7,0.0002,0.0032,0.0014,0.0031,0.003,0.0034
PATRON,0.0514,,mg/L,6,0.0002,0.0026,0,0.0025,0.0027,0.0024
H KCA PO,0.0627,,mg/L,4.1,0.0001,0.0031,0.0013,0.003,0.0032,0.0031
H KCA PO,0.0609,,mg/L,5.3,0.0002,0.003,0.0014,0.003,0.0029,0.0032
PATRON,0.0543,,mg/L,1.9,0.0001,0.0027,-0.0003,0.0027,0.0027,0.0027
BLANCO,0.008,,mg/L,62.7,0.0003,0.0004,-0.0002,0.0002,0.0003,0.0007
BLANCO REACTIVO,0,,mg/L,69.4,0.0003,0.0004,-0.0007,0.0003,0.0002,0.0007
M1 PO,0.0425,,mg/L,1.1,0,0.0021,0.0026,0.0021,0.0021,0.0021
M2 PO,0.0354,,mg/L,2.8,0,0.0018,0.0027,0.0018,0.0017,0.0018
M3 PO,0.0289,,mg/L,2.7,0,0.0015,0.0024,0.0015,0.0015,0.0014
M4 PO,0.0148,,mg/L,19.4,0.0001,0.0008,0.0027,0.0007,0.0007,0.0009
PATRON,0.0513,,mg/L,7.2,0.0002,0.0025,0.0024,0.0027,0.0023,0.0026
P KCA PO,0.0133,,mg/L,10.5,0.0001,0.0007,0.0028,0.0008,0.0006,0.0007
PATRON,0.0488,,mg/L,2.8,0.0001,0.0024,0.0027,0.0024,0.0023,0.0025
BLANCO,-0.0019,,mg/L,55.9,0,0,-0.0001,-0.0001,0,0
BLANCO REACTIVO,0,,mg/L,25.8,0.0002,0.001,-0.0019,0.0011,0.0011,0.0007
CELDA 8,0.0423,,mg/L,10.9,0.0002,0.0021,0.0025,0.0018,0.0022,0.0023
CANAL,0.1071,,mg/L,1,0.0001,0.0053,0.0023,0.0053,0.0052,0.0053
FASE 1,0.043,,mg/L,2.9,0.0001,0.0021,0.0022,0.0022,0.0021,0.0021
FASE 2,0.0357,,mg/L,14.7,0.0003,0.0018,0.0021,0.0021,0.0016,0.0016
FASE 3,0.039,,mg/L,8.3,0.0002,0.0019,0.0025,0.002,0.0018,0.002
VSP NORTE,0.0556,,mg/L,9.6,0.0003,0.0028,0.0025,0.0025,0.003,0.0028
CELDA 8.1,0.0316,,mg/L,12.7,0.0002,0.0016,0.0018,0.0016,0.0014,0.0018
CELDA 8.2,0.0276,,mg/L,15.3,0.0002,0.0014,0.0019,0.0015,0.0011,0.0015
CELDA 8.3,0.0175,,mg/L,25.6,0.0002,0.0009,0.0023,0.001,0.0011,0.0006
S. RICA,0.0258,,mg/L,16.7,0.0002,0.0013,0.002,0.0015,0.0014,0.0011
PATRON,0.0466,,mg/L,10.7,0.0002,0.0021,-0.002,0.0019,0.0024,0.002
