Analista,JGS,,,,,,,,
Fecha de inicio,31/03/2023 12:34 a. m.  GMT: 31/03/2023 06:34 a. m.,,,,,,,,
Hoja de trabajo,SA000826-RE_6,,,,,,,,
Comentario,,,,,,,,,
Métodos,Ag,,,,,,,,
,,,,,,,,,
Método: Ag HCL (Llama),,,,,,,,,
,,,,,,,,,
,PATRON,0.9815,,mg/L,0.7,0.1245,0.1248,0.1251,0.1234
,BLANCO,-0.0042,,mg/L,12.9,-0.0005,-0.0006,-0.0005,-0.0006
,BLANCO REACTIVO,0,,mg/L,13.9,-0.0008,-0.0007,-0.0009,-0.0007
,SA000809-005,9.8484,,mg/L,0.6,0.0512,0.0515,0.0508,0.0512
,SA000809-006,0.5235,,mg/L,10.4,0.0027,0.0028,0.0024,0.0029
,SA000809-007,6.1002,,mg/L,4,0.0317,0.0302,0.0324,0.0324
,SA000809-008,-0.0364,,mg/L,24.3,-0.0002,-0.0002,-0.0002,-0.0002
,SA000809-009,5.2107,,mg/L,1.4,0.0272,0.0268,0.0273,0.0275
,PATRON,1.0105,,mg/L,0.8,0.1205,0.121,0.1195,0.1211
,SA000809-010,2.6322,,mg/L,4.7,0.0128,0.0129,0.0122,0.0134
,SA000809-012,7.3362,,mg/L,1.3,0.0359,0.0353,0.036,0.0362
,PATRON,1.0037,,mg/L,0.3,0.1198,0.1193,0.1201,0.1199
,BLANCO,0.0008,,mg/L,96.9,0.0001,0.0001,0,0.0002
,BLANCO REACTIVO,0,,mg/L,43.4,0.0003,0.0003,0.0002,0.0005
