PATRON,4.9444,,mg/L,0.7,0.0527,0.0529,0.0523,0.053
BLANCO,-0.0643,,mg/L,16.6,-0.0007,-0.0007,-0.0006,-0.0008
BLANCO REACTIVO,0,,mg/L,26.4,-0.0006,-0.0006,-0.0005,-0.0008
FASE 1,0.066,,mg/L,21.1,0.0007,0.0009,0.0007,0.0006
FASE 2,0.0753,,mg/L,17.6,0.0008,0.001,0.0007,0.0007
FASE 3,0.0976,,mg/L,10.7,0.001,0.0009,0.001,0.0012
VSP NORTE,0.0778,,mg/L,17.9,0.0008,0.0009,0.0009,0.0007
CELDA 8.1,0.0658,,mg/L,14.9,0.0007,0.0007,0.0006,0.0008
CELDA 8.2,0.038,,mg/L,51,0.0004,0.0004,0.0002,0.0006
CELDA 8.3,1.7143,,mg/L,1,0.0183,0.0181,0.0184,0.0185
PATRON,5.1076,,mg/L,0.4,0.0545,0.0545,0.0542,0.0547
BLANCO,-0.0245,,mg/L,96.6,-0.0003,-0.0001,-0.0002,-0.0005
BLANCO REACTIVO,0,,mg/L,>100,-0.0003,-0.0004,-0.0006,0.0001
