Analista,MVG,,,,,,,,,,,,
Fecha de inicio,22/09/2024 01:48 a. m.  GMT: 22/09/2024 07:48 a. m.,,,,,,,,,,,,
Hoja de trabajo,SA010021-RCK_3,,,,,,,,,,,,
Comentario,,,,,,,,,,,,,
Métodos,Au,,,,,,,,,,,,
,,,,,,,,,,,,,
Método: Au EFAA30 (Llama),,,,,,,,,,,,,
,,,,,,,,,,,,,
,PATRON,0.4952,,mg/L,1.2,0.0146,0.0009,1,1,1,0.0148,0.0147,0.0144
,BLANCO,-0.0076,,mg/L,73.2,-0.0002,0.0003,1,1,1,-0.0004,-0.0001,-0.0001
,BLANCO REACTIVO,0,,mg/L,>100,-0.0001,-0.0003,1,1,1,-0.0002,0.0002,-0.0003
,SA010021-001,0.1265,,mg/L,0.8,0.0428,-0.0015,30,7,1,0.0424,0.043,0.043
,SA010021-002,0.2898,,mg/L,0.6,0.2641,0.0005,30,7,1,0.2627,0.264,0.2657
,SA010021-003,0.2963,,mg/L,0.6,0.0785,-0.0002,30,7,1,0.079,0.0781,0.0786
,SA010021-004,0.4126,,mg/L,1.6,0.0354,-0.0003,30,7,1,0.035,0.0352,0.0361
,SA010021-005,0.4448,,mg/L,0.5,0.0583,-0.0004,30,7,1,0.0586,0.0582,0.058
,PATRON,0.5068,,mg/L,1.9,0.015,0.0001,1,1,1,0.0152,0.015,0.0147
,SA010021-006,-0.0038,,mg/L,60.7,0.0003,-0.0005,30,7,1,0.0004,0.0004,0.0001
,SA010021-007,0.4589,,mg/L,0.3,0.0448,-0.0003,30,7,1,0.0446,0.0449,0.0448
,PATRON,0.1426,,mg/L,0.6,0.1028,-0.0001,30,7,1,0.1021,0.1034,0.103
,BLANCO,0.002,,mg/L,7,0.1228,0,30,7,1,0.1313,0.1229,0.1141
,BLANCO REACTIVO,0.462,,mg/L,0.6,0.0398,-0.0003,30,7,1,0.0396,0.04,0.0399
