Analista,MVG,,,,,,,,,
Fecha de inicio,12:35 p. m. 14/01/2026  GMT: 06:35 p. m. 14/01/2026,,,,,,,,,
Hoja de trabajo,SA007664,,,,,,,,,
Comentario,,,,,,,,,,
Métodos,Au,,,,,,,,,
,,,,,,,,,,
Peso nominal,1,Volumen nominal,1,,,,,,,
Método: Au EFAA30 (Llama),,,,,,,,,,
,,,,,,,,,,
,PATRON,0.5208,,mg/L,1,0.3,0.0194,0.001,1,1
,BLANCO,-0.0024,,mg/L,1,>100,-0.0001,-0.0008,1,1
,BLANCO REACTIVO,0,,mg/L,1,72.3,-0.0004,-0.0007,1,1
,SA007664-001,0.072,,mg/L,1,3.8,0.0115,0.0002,30.023,7
,SA007664-002,0.011,,mg/L,1,20.1,0.0017,0.0007,30.005,7
,SA007664-003,0.0803,,mg/L,1,0.4,0.0128,0.0007,30.039,7
,SA007664-004,0.0401,,mg/L,1,1.8,0.0064,0.0011,30.026,7
,SA007664-005,0.0304,,mg/L,1,0.9,0.0048,0.0011,30.01,7
,PATRON,0.508,,mg/L,1,1.1,0.0189,0.0016,1,1
,SA007664-006,0.0067,,mg/L,1,23,0.0011,0.0009,30.005,7
,SA007664-007,0.0139,,mg/L,1,8.7,0.0022,0.0011,30.018,7
,SA007664-008,0.0095,,mg/L,1,10.3,0.0015,0.0009,30.003,7
,SA007664-009,0.0151,,mg/L,1,18.5,0.0024,0.0009,30.01,7
,SA007664-010,0.0662,,mg/L,1,0.1,0.0105,0.001,30.005,7
,PATRON,0.5198,,mg/L,1,1.1,0.0193,0.0011,1,1
,BLANCO,0,,mg/L,1,>100,0,0.0006,1,1
,BLANCO REACTIVO,0,,mg/L,1,17.9,-0.0012,0,1,1
,SA007664-011,0.0111,,mg/L,1,22.5,0.0018,0.0006,30.039,7
,SA007664-012,0.0064,,mg/L,1,20.5,0.001,0.0006,30,7
,SA007664-013,0.0144,,mg/L,1,5.5,0.0023,0.0006,30.037,7
,SA007664-014,0.0649,,mg/L,1,4.8,0.0103,0.001,30.022,7
,SA007664-015,0.1973,,mg/L,1,0.8,0.0315,0.0012,30.009,7
,PATRON,0.5056,,mg/L,1,3.4,0.0182,0.0007,1,1
,SA007664-016,0.2013,,mg/L,1,2.8,0.0317,0.0002,30.027,7
,SA007664-017,0.1176,,mg/L,1,65.6,0.0181,0.0003,30.021,7
,PATRON,0.5068,,mg/L,1,0.3,0.0188,0.0016,1,1
,BLANCO,-0.0039,,mg/L,1,>100,-0.0001,0.0004,1,1
,BLANCO REACTIVO,0,,mg/L,1,84.2,-0.0005,0,1,1
