PATRON,4.9549,,mg/L,1.1,0.0503,1,1,1,0.0505,0.0507,0.0496
BLANCO,-0.0051,,mg/L,84.2,-0.0001,1,1,1,0,0,-0.0001
BLANCO REACTIVO,0,,mg/L,54.1,-0.0002,1,1,1,-0.0001,-0.0002,-0.0001
FASE 1,0.0262,,mg/L,40.9,0.0003,1,1,1,0.0003,0.0004,0.0002
PATRON,4.8952,,mg/L,0.3,0.0497,1,1,1,0.0495,0.0497,0.0498
FASE 2,0.0297,,mg/L,23.6,0.0003,1,1,1,0.0004,0.0003,0.0002
FASE 3,0.0364,,mg/L,24,0.0004,1,1,1,0.0004,0.0003,0.0004
PATRON,4.8873,,mg/L,1.5,0.0496,1,1,1,0.0495,0.0489,0.0504
BLANCO,-0.0028,,mg/L,>100,0,1,1,1,0,0,-0.0001
BLANCO REACTIVO,0,,mg/L,56.3,-0.0002,1,1,1,-0.0001,-0.0003,-0.0001
VSP NORTE,0.039,,mg/L,9.7,0.0004,1,1,1,0.0004,0.0004,0.0004
CELDA 8.1,0.0434,,mg/L,15,0.0004,1,1,1,0.0004,0.0005,0.0005
CELDA 8.2,0.0359,,mg/L,55.5,0.0004,1,1,1,0.0006,0.0002,0.0004
CELDA 8.3,0.4412,,mg/L,1,0.0045,1,1,1,0.0045,0.0045,0.0046
PATRON,5.0023,,mg/L,0.5,0.0508,1,1,1,0.0506,0.051,0.0506
BLANCO,0.0374,,mg/L,30.8,0.0004,1,1,1,0.0003,0.0005,0.0004
BLANCO REACTIVO,0,,mg/L,79.5,0.0001,1,1,1,0.0001,0.0002,0.0001
