Analista,GGP,,,,,,,,,,,,
Fecha de inicio,06/10/2024 08:43 a. m.  GMT: 06/10/2024 02:43 p. m.,,,,,,,,,,,,
Hoja de trabajo,SA005640_3,,,,,,,,,,,,
Comentario,,,,,,,,,,,,,
Métodos,Au,,,,,,,,,,,,
,,,,,,,,,,,,,
Peso nominal,1,Volumen nominal,1,Nominal Dilution,1,,,,,,,,
Método: Au EFAA30 (Llama),,,,,,,,,,,,,
,,,,,,,,,,,,,
,PATRON,0.5005,,mg/L,1.6,0.0144,0.0016,1,1,1,0.0147,0.0143,0.0142
,BLANCO,0.0036,,mg/L,>100,0.0001,0,1,1,1,0.0001,0,0.0003
,BLANCO REACTIVO,0,,mg/L,27.8,-0.0006,0.0017,1,1,1,-0.0004,-0.0006,-0.0007
,SA005640-001,0.4893,,mg/L,0.3,0.0471,-0.0003,20.012,7,1,0.047,0.0473,0.0471
,SA005640-002,0.215,,mg/L,1.7,0.0208,-0.0027,20.017,7,1,0.0212,0.0208,0.0205
,SA005640-004,0.0635,,mg/L,5.4,0.0052,0.0018,20.036,7,1,0.005,0.0055,0.0052
,SA005640-005,0.1007,,mg/L,2.5,0.0083,0.0014,20.032,7,1,0.0081,0.0084,0.0084
,PATRON,0.5022,,mg/L,1.6,0.017,-0.0016,1,1,1,0.0168,0.0169,0.0173
,SA005640-006,0.0549,,mg/L,6.2,0.0045,0.0016,20.006,7,1,0.0043,0.0045,0.0048
,SA005640-007,0.0062,,mg/L,31.6,0.0006,-0.0018,20.006,7,1,0.0004,0.0008,0.0006
,SA005640-008,0.0026,,mg/L,21.9,0.0003,-0.0018,20.028,7,1,0.0002,0.0003,0.0003
,SA005640-009,0.0848,,mg/L,1.8,0.0082,-0.0016,20.013,7,1,0.0082,0.0081,0.0084
,SA005640-010,0.0132,,mg/L,29.2,0.0011,0.0021,20.04,7,1,0.0013,0.0007,0.0013
,PATRON,0.5006,,mg/L,1.1,0.017,-0.0015,1,1,1,0.0172,0.0169,0.0169
,BLANCO,-0.0015,,mg/L,>100,-0.0001,-0.0026,1,1,1,0.0002,-0.0002,-0.0002
,BLANCO REACTIVO,0,,mg/L,17.6,0.0014,-0.0014,1,1,1,0.0013,0.0011,0.0016
,SA005640-011,0.1498,,mg/L,2.3,0.0145,-0.0021,20.016,7,1,0.0146,0.0142,0.0148
,PATRON,0.4885,,mg/L,0.9,0.0166,-0.0019,1,1,1,0.0164,0.0167,0.0166
,BLANCO,-0.0029,,mg/L,89.6,-0.0001,-0.0029,1,1,1,-0.0002,0,-0.0001
,BLANCO REACTIVO,0,,mg/L,20.9,0.0012,-0.0014,1,1,1,0.0014,0.0011,0.001
