PATRON,4.9263,,mg/L,0.7,0.0535,0.0536,0.0538,0.0531
BLANCO,0.024,,mg/L,31,0.0003,0.0002,0.0002,0.0004
BLANCO REACTIVO,0,,mg/L,50.3,-0.0001,-0.0001,-0.0001,-0.0002
FASE 1,0.0295,,mg/L,9.5,0.0003,0.0003,0.0004,0.0003
FASE 2,0.0248,,mg/L,25,0.0003,0.0002,0.0003,0.0003
FASE 3,0.0396,,mg/L,5.1,0.0004,0.0005,0.0004,0.0004
VSP NORTE,0.0224,,mg/L,58.1,0.0002,0.0004,0.0001,0.0002
CELDA 8.1,0.0549,,mg/L,16.6,0.0006,0.0007,0.0005,0.0006
CELDA 8.2,0.0441,,mg/L,12.8,0.0005,0.0005,0.0005,0.0004
CELDA 8.3,0.0689,,mg/L,2.8,0.0008,0.0008,0.0007,0.0008
PATRON,4.9178,,mg/L,0.7,0.0534,0.053,0.0536,0.0537
BLANCO,0.0369,,mg/L,52.6,0.0004,0.0002,0.0005,0.0006
BLANCO REACTIVO,0,,mg/L,19.9,0.0003,0.0003,0.0002,0.0002
