PATRON,1.0046,,mg/L,0.9,0.1339,0.002,0.1327,0.134,0.135
BLANCO,-0.0031,,mg/L,>100,-0.0004,-0.0015,-0.0012,0.0003,-0.0003
BLANCO REACTIVO,0,,mg/L,>100,0.0009,-0.0001,0.0018,0.0011,-0.0002
H,0.3542,,mg/L,0.6,0.0476,-0.0009,0.0476,0.0478,0.0472
C1,0.3271,,mg/L,1.7,0.0439,0.0001,0.0444,0.0443,0.0431
C2,0.3255,,mg/L,2.1,0.0437,0,0.0446,0.0437,0.0428
PATRON,0.2024,,mg/L,0.9,0.0272,-0.0016,0.0273,0.0273,0.0269
BLANCO,-0.0015,,mg/L,>100,-0.0002,-0.0017,0.0001,-0.0008,0.0001
BLANCO REACTIVO,0,,mg/L,23.5,0.0011,-0.0008,0.0014,0.0009,0.001
C3,0.3007,,mg/L,0.5,0.0404,-0.0001,0.0406,0.0402,0.0404
C4,0.2799,,mg/L,0.5,0.0376,-0.0006,0.0377,0.0374,0.0377
T,0.2261,,mg/L,1.3,0.0304,0,0.0304,0.03,0.0308
PATRON,0.2027,,mg/L,4.4,0.0272,-0.002,0.0282,0.0276,0.0259
BLANCO,0.0017,,mg/L,>100,0.0002,-0.0024,0.0008,-0.0001,0
BLANCO REACTIVO,0,,mg/L,61.6,0.0006,-0.0004,0.0009,0.0007,0.0002
DP1,0.5001,,mg/L,1,0.0671,-0.0007,0.0665,0.067,0.0678
DP2,0.3891,,mg/L,1.8,0.0522,-0.0005,0.0516,0.0533,0.0518
DP3,0.2012,,mg/L,0.8,0.027,-0.0004,0.027,0.0268,0.0272
PATRON,1.0045,,mg/L,0.5,0.1339,0.0015,0.134,0.1345,0.1332
BLANCO,-0.0013,,mg/L,>100,-0.0002,-0.001,-0.0006,-0.0005,0.0005
BLANCO REACTIVO,0,,mg/L,>100,0.0004,-0.0004,-0.0001,0.0005,0.0007
DP4,0.3474,,mg/L,0.2,0.0466,0.0002,0.0466,0.0466,0.0467
DP5,0.0293,,mg/L,5,0.0039,0.0007,0.0039,0.0038,0.0041
DP6,0.4418,,mg/L,1.7,0.0593,-0.0002,0.0591,0.0584,0.0604
PATRON,1.0019,,mg/L,0.8,0.1336,0.0014,0.1324,0.1344,0.1339
BLANCO,0.0004,,mg/L,>100,0.0001,-0.0007,0.0003,-0.0003,0.0001
BLANCO REACTIVO,0,,mg/L,22.9,0.0003,-0.0002,0.0003,0.0002,0.0003
ELY1,0.3177,,mg/L,1.9,0.0427,-0.0001,0.0428,0.0434,0.0418
ELY2,0.3113,,mg/L,0.9,0.0418,-0.0009,0.0421,0.0414,0.042
ELY3,0.2918,,mg/L,2,0.0392,-0.0006,0.0384,0.0391,0.04
PATRON,0.2021,,mg/L,3.4,0.0271,-0.0005,0.0277,0.0277,0.0261
BLANCO,-0.0018,,mg/L,>100,-0.0002,-0.0021,0.0001,-0.0016,0.0008
BLANCO REACTIVO,0,,mg/L,>100,0.0001,-0.0002,0.0002,-0.0001,0.0002
ELY4,0.2693,,mg/L,2.3,0.0362,0.0002,0.0361,0.0354,0.037
ELY5,0.2504,,mg/L,0.5,0.0336,0,0.0335,0.0338,0.0336
PATRON,0.2008,,mg/L,8.9,0.027,-0.0013,0.0282,0.0285,0.0242
BLANCO,-0.0022,,mg/L,76.8,-0.0003,-0.0013,-0.0001,-0.0006,-0.0002
BLANCO REACTIVO,0,,mg/L,65.1,0.0005,-0.0005,0.0007,0.0001,0.0007
