Analista,JS,,,,,,,,,,,,
Fecha de inicio,17/08/2024 03:30 a. m.  GMT: 17/08/2024 09:30 a. m.,,,,,,,,,,,,
Hoja de trabajo,SA005109-RCK_3,,,,,,,,,,,,
Comentario,,,,,,,,,,,,,
Métodos,Au,,,,,,,,,,,,
,,,,,,,,,,,,,
Método: Au EFAA30 (Llama),,,,,,,,,,,,,
,,,,,,,,,,,,,
,PATRON,0.4968,,mg/L,1.7,0.0145,0.002,,,,0.0146,0.0147,0.0142
,BLANCO,-0.0087,,mg/L,>100,-0.0003,0.0007,,,,-0.0004,-0.0004,0.0001
,BLANCO REACTIVO,0,,mg/L,>100,-0.0005,0.001,,,,-0.0009,-0.001,0.0002
,SA005109-001,0.5923,,mg/L,1.9,0.0489,0.0022,20,,,0.0478,0.0495,0.0493
,SA005109-002,0.8355,,mg/L,0.9,0.0686,0.0027,20,,,0.069,0.0689,0.0679
,SA005109-003,0.6271,,mg/L,0.5,0.0517,0.0026,2,,,0.0517,0.0514,0.0519
,SA005109-004,0.6268,,mg/L,1.2,0.0517,0.0024,20,,,0.0522,0.0518,0.051
,SA005109-005,-0.0024,,mg/L,>100,-0.0002,0.0027,2,,,0.0003,0.0002,-0.0011
,PATRON,0.5135,,mg/L,5.2,0.015,0.003,,,,0.0141,0.0154,0.0154
,SA005109-006,1.06,,mg/L,1.3,0.0867,0.0031,20,,,0.0865,0.0879,0.0857
,SA005109-007,0.2151,,mg/L,2,0.0179,0.0026,2,,,0.0183,0.0175,0.0179
,PATRON,0.509,,mg/L,3.2,0.0148,0.003,,,,0.0146,0.0146,0.0154
,BLANCO,-0.0103,,mg/L,>100,-0.0003,0.0018,,,,0.0003,-0.001,-0.0001
,BLANCO REACTIVO,0,,mg/L,>100,-0.0001,0.0005,,,,-0.0005,0.0005,-0.0001
