Analista,GGP,,,,,,,,,,,,
Fecha de inicio,17/09/2024 12:11 p. m.  GMT: 17/09/2024 06:11 p. m.,,,,,,,,,,,,
Hoja de trabajo,SA005552_3,,,,,,,,,,,,
Comentario,,,,,,,,,,,,,
Métodos,Au,,,,,,,,,,,,
,,,,,,,,,,,,,
Peso nominal,1,Volumen nominal,1,Nominal Dilution,1,,,,,,,,
Método: Au EFAA30 (Llama),,,,,,,,,,,,,
,,,,,,,,,,,,,
,PATRON,0.5016,,mg/L,1.2,0.0165,0.0009,,,,0.0167,0.0165,0.0163
,BLANCO,0.0066,,mg/L,>100,0.0002,0,,,,0.0002,-0.0001,0.0006
,BLANCO REACTIVO,0,,mg/L,94.9,-0.0001,0.0005,,,,0,-0.0001,-0.0003
,SA005552-001,0.385,,mg/L,0.4,0.0358,0.0007,20.01,,,0.0357,0.0357,0.0359
,SA005552-002,0.5599,,mg/L,0.4,0.0517,0.0008,20.06,,,0.0518,0.0518,0.0514
,SA005552-003,0.6206,,mg/L,1,0.057,0.001,20.01,,,0.0565,0.0569,0.0576
,SA005552-004,2.2993,,mg/L,0.4,0.202,0.0012,20.04,,,0.2014,0.2018,0.2028
,SA005552-005,2.3201,,mg/L,0.4,0.2033,0.0013,2,,1,0.2033,0.2042,0.2024
,PATRON,0.487,,mg/L,0.5,0.016,0.0017,,,,0.0159,0.0161,0.016
,SA005552-006,1.0007,,mg/L,0.3,0.0905,0.0009,20,,,0.0904,0.0907,0.0903
,SA005552-007,0.7557,,mg/L,0.2,0.0691,0.0011,20.03,,,0.0689,0.0691,0.0692
,SA005552-008,0.4049,,mg/L,0.8,0.0376,0.0009,20.03,,,0.0373,0.0378,0.0378
,SA005552-009,0.5081,,mg/L,0.5,0.0469,0.0007,20.01,,,0.0472,0.0469,0.0467
,SA005552-010,0.8752,,mg/L,0.4,0.0796,0.0011,20.04,,,0.0793,0.0799,0.0797
,PATRON,0.4986,,mg/L,2.3,0.0164,0.0012,,,,0.0168,0.0164,0.016
,BLANCO,-0.0045,,mg/L,>100,-0.0002,0.0007,,,,-0.0003,-0.0003,0.0001
,BLANCO REACTIVO,0,,mg/L,81.4,-0.0003,0.0004,,,,-0.0001,-0.0005,-0.0002
,SA005552-011,0.5877,,mg/L,1,0.0541,0.001,20.02,,,0.0535,0.0544,0.0544
,SA005552-012,0.0088,,mg/L,16.1,0.0008,0.001,20.01,,,0.0009,0.0009,0.0007
,SA005552-013,0.6214,,mg/L,0,0.0571,0.0014,20.02,,,0.0571,0.0571,0.0571
,SA005552-014,0.948,,mg/L,0.4,0.0859,0.0012,20.02,,,0.0862,0.086,0.0856
,SA005552-015,0.9313,,mg/L,0.6,0.0844,0.0009,20,,,0.0842,0.085,0.084
,PATRON,0.4976,,mg/L,0.2,0.0164,0.0018,,,,0.0163,0.0164,0.0164
,SA005552-016,0.001,,mg/L,>100,0.0001,0.001,20.04,,,0.0005,-0.0001,-0.0001
,SA005552-017,0.6261,,mg/L,0.9,0.0575,0.0007,20,,,0.0575,0.058,0.0569
,SA005552-018,0.3502,,mg/L,1.2,0.0327,0.0012,20.05,,,0.0331,0.0325,0.0324
,SA005552-019,0.0045,,mg/L,>100,0.0004,0.0009,20,,,0.0008,0.0006,-0.0001
,SA005552-020,0.6206,,mg/L,0.7,0.0571,0.0012,20.03,,,0.0575,0.0569,0.0568
,PATRON,0.496,,mg/L,2,0.0163,0.0014,,,,0.0159,0.0164,0.0166
,BLANCO,0.0006,,mg/L,>100,0,0.0005,,,,0,0.0001,0
,BLANCO REACTIVO,0,,mg/L,>100,-0.0001,0.0001,,,,0.0001,-0.0001,-0.0001
,SA005552-021,0.8309,,mg/L,0.8,0.0757,0.0007,20.02,,,0.0753,0.0754,0.0764
,SA005552-022,0.4802,,mg/L,0.5,0.0444,0.0007,20,,,0.0446,0.0441,0.0445
,PATRON,0.4851,,mg/L,1.9,0.016,0.0013,,,,0.0161,0.0156,0.0162
,BLANCO,-0.0152,,mg/L,65.8,-0.0005,0.0005,,,,-0.0003,-0.0009,-0.0004
,BLANCO REACTIVO,0,,mg/L,22.5,-0.0003,0.0003,,,,-0.0003,-0.0002,-0.0004
