PATRON,4.8592,,mg/L,1.3,0.0491,1,1,1,0.0488,0.0488,0.0499
BLANCO,-0.0686,,mg/L,15.1,-0.0007,1,1,1,-0.0008,-0.0007,-0.0006
BLANCO REACTIVO,0,,mg/L,4.6,-0.001,1,1,1,-0.001,-0.001,-0.0009
FASE 1,0.0346,,mg/L,21.3,0.0004,1,1,1,0.0003,0.0004,0.0003
PATRON,4.9085,,mg/L,0.9,0.0496,1,1,1,0.0494,0.0501,0.0494
FASE 2,0.0458,,mg/L,12.1,0.0005,1,1,1,0.0004,0.0005,0.0005
FASE 3,0.0638,,mg/L,8.8,0.0007,1,1,1,0.0007,0.0006,0.0006
PATRON,5.0452,,mg/L,0.7,0.051,1,1,1,0.0511,0.0513,0.0506
BLANCO,0.034,,mg/L,11.8,0.0003,1,1,1,0.0003,0.0004,0.0003
BLANCO REACTIVO,0,,mg/L,10.6,-0.0005,1,1,1,-0.0005,-0.0005,-0.0006
VSP NORTE,0.0223,,mg/L,69.8,0.0002,1,1,1,0.0001,0.0004,0.0002
CELDA 8.1,0.0456,,mg/L,42.3,0.0005,1,1,1,0.0006,0.0003,0.0005
CELDA 8.2,0.0402,,mg/L,36.3,0.0004,1,1,1,0.0004,0.0006,0.0003
CELDA 8.3,0.9232,,mg/L,2.9,0.0094,1,1,1,0.0097,0.0094,0.0091
PATRON,5.1464,,mg/L,0.5,0.052,1,1,1,0.0522,0.0518,0.052
BLANCO,0.0222,,mg/L,43,0.0002,1,1,1,0.0003,0.0003,0.0001
BLANCO REACTIVO,0,,mg/L,43.8,-0.0003,1,1,1,-0.0003,-0.0004,-0.0002
