PATRON,4.8972,,mg/L,5.3,0.0558,1,1,1,0.059,0.0555,0.0531
BLANCO,0.0109,,mg/L,>100,0.0001,1,1,1,0.0001,0.0003,0
BLANCO REACTIVO,0,,mg/L,31.9,-0.0004,1,1,1,-0.0005,-0.0003,-0.0004
FASE 1,0.0251,,mg/L,39,0.0003,1,1,1,0.0002,0.0003,0.0004
PATRON,4.8933,,mg/L,5.2,0.0558,1,1,1,0.0532,0.0553,0.0589
FASE 2,0.0191,,mg/L,57.4,0.0002,1,1,1,0.0004,0.0001,0.0002
FASE 3,0.0229,,mg/L,57.7,0.0003,1,1,1,0.0005,0.0002,0.0002
PATRON,4.9978,,mg/L,0.6,0.057,1,1,1,0.057,0.0566,0.0572
BLANCO,0.0002,,mg/L,>100,0,1,1,1,0,-0.0001,0.0001
BLANCO REACTIVO,0,,mg/L,14.7,-0.0009,1,1,1,-0.0007,-0.0009,-0.001
VSP NORTE,0.0178,,mg/L,52.9,0.0002,1,1,1,0.0003,0.0003,0.0001
CELDA 8.1,0.0305,,mg/L,26.4,0.0004,1,1,1,0.0003,0.0004,0.0004
CELDA 8.2,0.029,,mg/L,21.7,0.0003,1,1,1,0.0004,0.0004,0.0003
CELDA 8.3,1.8166,,mg/L,1.2,0.0212,1,1,1,0.0209,0.0213,0.0213
PATRON,4.9758,,mg/L,2.6,0.0567,1,1,1,0.0575,0.0576,0.055
BLANCO,0.0032,,mg/L,>100,0,1,1,1,0.0001,0,0
BLANCO REACTIVO,0,,mg/L,24.5,-0.0009,1,1,1,-0.0008,-0.0012,-0.0008
