Analista,GGP,,,,,,,,,,,,
Fecha de inicio,11/10/2024 03:23 p. m.  GMT: 11/10/2024 09:23 p. m.,,,,,,,,,,,,
Hoja de trabajo,SA005653_6,,,,,,,,,,,,
Comentario,,,,,,,,,,,,,
Métodos,Ag,,,,,,,,,,,,
,,,,,,,,,,,,,
Peso nominal,1,Volumen nominal,1,Nominal Dilution,1,,,,,,,,
Método: Ag VHAAAg (Llama),,,,,,,,,,,,,
,,,,,,,,,,,,,
,PATRON,0.9985,,mg/L,0.7,0.1412,0.0044,,,,0.142,0.1415,0.1401
,BLANCO,-0.0097,,mg/L,72.8,-0.0014,0.0005,,,,-0.0013,-0.0004,-0.0025
,BLANCO REACTIVO,0,,mg/L,85.7,0.001,0,,,,0.0015,0,0.0014
,SA005653-001,1.5293,,mg/L,6,0.0089,0.0043,2.01,5,,0.0092,0.0092,0.0083
,SA005653-002,1.4901,,mg/L,20.8,0.0086,0.0044,2,5,,0.0107,0.0074,0.0077
,SA005653-003,1.4251,,mg/L,18.2,0.0083,0.0055,2.01,5,,0.0069,0.008,0.0099
,SA005653-004,3.5518,,mg/L,13.1,0.021,0.0055,2.04,5,,0.0189,0.0199,0.0241
,SA005653-005,3.4201,,mg/L,3.6,0.0181,0.0032,2,5,,0.0179,0.0176,0.0188
,PATRON,1.0078,,mg/L,0.4,0.1424,0,,,,0.1418,0.1426,0.1429
,SA005653-006,-0.0383,,mg/L,>100,-0.0002,-0.0029,2,5,,-0.0002,0.0005,-0.0009
,SA005653-007,3.4439,,mg/L,2,0.0203,0.004,2.04,5,,0.0202,0.0207,0.0199
,SA005653-008,0.0617,,mg/L,>100,0.0004,-0.0014,2.01,5,,0.0009,0,0.0002
,SA005653-009,-0.0848,,mg/L,58,-0.0005,-0.0027,2.04,5,,-0.0007,-0.0007,-0.0002
,SA005653-010,6.1596,,mg/L,0.9,0.036,0.0057,2.02,5,,0.0358,0.0359,0.0364
,PATRON,0.9947,,mg/L,1.6,0.1407,0.0026,,,,0.1423,0.138,0.1416
,BLANCO,0.0023,,mg/L,95.7,0.0003,0.0004,,,,0.0006,0.0004,0
,BLANCO REACTIVO,0,,mg/L,20.3,0.0026,0.0006,,,,0.0029,0.0029,0.002
,SA005653-011,14.9103,,mg/L,1.5,0.0871,0.0049,2,5,,0.0857,0.0874,0.0883
,PATRON,0.9898,,mg/L,1.8,0.14,0.0012,,,,0.1372,0.1406,0.1422
,BLANCO,0.002,,mg/L,>100,0.0003,-0.0019,,,,-0.0004,0,0.0012
,BLANCO REACTIVO,0,,mg/L,4.8,0.0026,-0.0012,,,,0.0027,0.0025,0.0027
