PATRON,4.9021,,mg/L,0.6,0.0522,1,1,1,0.0519,0.0522,0.0525
BLANCO,0.0299,,mg/L,31.2,0.0003,1,1,1,0.0002,0.0004,0.0004
BLANCO REACTIVO,0,,mg/L,14.2,0.0003,1,1,1,0.0004,0.0003,0.0003
FASE 1,0.0149,,mg/L,73.1,0.0002,1,1,1,0.0001,0.0001,0.0003
PATRON,4.8496,,mg/L,0.4,0.0517,1,1,1,0.0514,0.0518,0.0518
FASE 2,0.0254,,mg/L,38.6,0.0003,1,1,1,0.0004,0.0003,0.0002
FASE 3,0.0518,,mg/L,20.7,0.0006,1,1,1,0.0006,0.0006,0.0004
PATRON,4.8907,,mg/L,0.6,0.0521,1,1,1,0.0517,0.0522,0.0524
BLANCO,0.011,,mg/L,52,0.0001,1,1,1,0.0002,0,0.0001
BLANCO REACTIVO,0,,mg/L,27.2,0.0004,1,1,1,0.0004,0.0004,0.0006
VSP NORTE,0.0323,,mg/L,5.5,0.0003,1,1,1,0.0004,0.0003,0.0003
CELDA 8.1,0.0296,,mg/L,30.6,0.0003,1,1,1,0.0004,0.0004,0.0002
CELDA 8.2,0.0237,,mg/L,24,0.0003,1,1,1,0.0003,0.0002,0.0003
CELDA 8.3,0.2805,,mg/L,2.6,0.003,1,1,1,0.003,0.0031,0.0029
PATRON,4.8762,,mg/L,1,0.0519,1,1,1,0.0513,0.0522,0.0523
BLANCO,0.0022,,mg/L,>100,0,1,1,1,0.0001,-0.0002,0.0001
BLANCO REACTIVO,0,,mg/L,18.7,0.0005,1,1,1,0.0004,0.0005,0.0006
TRITURADORA,0.0142,,mg/L,>100,0.0002,1,1,1,0.0003,0.0001,0
