PATRON,0.1501,,mg/L,1.6,0.0001,0.0083,-0.0042,0.0082,0.0084,0.0082
BLANCO,-0.0008,,mg/L,>100,0.0001,-0.0001,0.0004,0,-0.0002,0
BLANCO REACTIVO,0,,mg/L,46.5,0.0001,-0.0003,0.0001,-0.0002,-0.0005,-0.0002
H,0.0533,,mg/L,9.5,0.0003,0.0029,0.0007,0.0026,0.0031,0.0031
C1,0.0429,,mg/L,15.5,0.0004,0.0024,-0.0013,0.0022,0.0021,0.0028
C2,0.0382,,mg/L,23.7,0.0005,0.0021,-0.0014,0.0018,0.0018,0.0027
PATRON,0.1523,,mg/L,1.8,0.0002,0.0084,-0.0039,0.0085,0.0082,0.0085
BLANCO,-0.0013,,mg/L,>100,0.0002,-0.0001,0.0002,0.0001,-0.0001,-0.0003
BLANCO REACTIVO,0,,mg/L,70.2,0.0002,0.0002,0.0002,0.0002,0.0004,0.0001
C3,0.0254,,mg/L,42.5,0.0006,0.0014,-0.0013,0.0011,0.0021,0.001
C4,0.0175,,mg/L,79.4,0.0008,0.001,-0.0013,0.0009,0.0018,0.0003
T,0.0103,,mg/L,26.9,0.0001,0.0006,-0.0012,0.0006,0.0004,0.0007
PATRON,0.1493,,mg/L,2.3,0.0002,0.0082,-0.0036,0.0083,0.0084,0.008
BLANCO,0.0008,,mg/L,>100,0.0001,0,0.0003,0.0001,0,0.0001
BLANCO REACTIVO,0,,mg/L,28,0.0001,0.0002,0.0006,0.0002,0.0003,0.0002
ELY1,0.044,,mg/L,27.5,0.0007,0.0024,-0.001,0.0017,0.0027,0.0028
ELY2,0.0363,,mg/L,44.1,0.0009,0.002,-0.0006,0.0011,0.0028,0.0021
ELY3,0.0232,,mg/L,82.3,0.001,0.0013,-0.0005,0.0001,0.0021,0.0016
PATRON,0.1489,,mg/L,1.1,0.0001,0.0082,-0.0033,0.0082,0.0081,0.0083
BLANCO,-0.0028,,mg/L,50.1,0.0001,-0.0002,0.0008,-0.0002,-0.0003,-0.0001
BLANCO REACTIVO,0,,mg/L,26.4,0,0.0002,0.0007,0.0002,0.0002,0.0001
ELY4,0.02,,mg/L,86.7,0.0009,0.0011,-0.0002,0,0.0018,0.0014
ELY5,0.0131,,mg/L,>100,0.0021,0.0007,0.0001,-0.0008,0.0032,-0.0002
PATRON,0.149,,mg/L,3.3,0.0003,0.0082,-0.0022,0.0084,0.0079,0.0083
BLANCO,-0.0039,,mg/L,74.7,0.0002,-0.0002,0.0017,0,-0.0004,-0.0003
BLANCO REACTIVO,0,,mg/L,>100,0.0002,-0.0001,-0.0001,-0.0002,-0.0002,0.0001
