Analista,GGP,,,,,,,,,,,,
Fecha de inicio,04/10/2024 12:02 p. m.  GMT: 04/10/2024 06:02 p. m.,,,,,,,,,,,,
Hoja de trabajo,SA005635_3,,,,,,,,,,,,
Comentario,,,,,,,,,,,,,
Métodos,Au,,,,,,,,,,,,
,,,,,,,,,,,,,
Peso nominal,1,Volumen nominal,1,Nominal Dilution,1,,,,,,,,
Método: Au EFAA30 (Llama),,,,,,,,,,,,,
,,,,,,,,,,,,,
,PATRON,0.5033,,mg/L,0.5,0.016,0.0031,,,,0.0159,0.0161,0.016
,BLANCO,0.0087,,mg/L,>100,0.0003,-0.0003,,,,0.0006,0.0003,0
,BLANCO REACTIVO,0,,mg/L,11.9,-0.002,0.0002,,,,-0.0023,-0.0019,-0.0019
,SA005635-001,0.0507,,mg/L,9.7,0.0046,-0.0007,20.05,,,0.0048,0.0041,0.005
,SA005635-002,0.0551,,mg/L,2.4,0.005,-0.0001,20.06,,,0.0049,0.0051,0.0049
,SA005635-003,0.0561,,mg/L,4.1,0.0051,0.0024,20.04,,,0.005,0.0053,0.0049
,SA005635-004,-0.0023,,mg/L,76.8,-0.0002,-0.0003,2,,,-0.0001,-0.0001,-0.0004
,SA005635-005,-0.0015,,mg/L,>100,-0.0001,-0.0006,20.02,,,-0.0005,0.0001,0
,PATRON,0.489,,mg/L,1.1,0.0156,0.0001,,,,0.0155,0.0158,0.0155
,SA005635-006,0.1172,,mg/L,1.1,0.0107,-0.0003,20.06,,,0.0106,0.0107,0.0108
,PATRON,0.4953,,mg/L,1.7,0.0158,0.0001,,,,0.0161,0.0155,0.0158
,BLANCO,-0.0037,,mg/L,>100,-0.0001,-0.0009,,,,-0.0004,-0.0001,0.0001
,BLANCO REACTIVO,0,,mg/L,>100,0,-0.0005,,,,-0.0001,-0.0001,0.0001
