PATRON,1.0117,,mg/L,0.6,0.0008,0.1359,0.0012,0.1363,0.135,0.1364
BLANCO,-0.0072,,mg/L,13.4,0.0001,-0.001,0.0004,-0.001,-0.0009,-0.0011
BLANCO REACTIVO,0,,mg/L,41.5,0.0003,-0.0007,-0.0005,-0.0009,-0.0009,-0.0004
H KCA PO,0.0098,,mg/L,21.1,0.0003,0.0014,0.0018,0.0014,0.0016,0.001
H KCA PO,0.0083,,mg/L,2.3,0,0.0011,0.0021,0.0012,0.0011,0.0012
H KCA PO,0.0098,,mg/L,20,0.0003,0.0014,0.0018,0.0017,0.0013,0.0011
PATRON,1.0105,,mg/L,1.1,0.0015,0.1358,0.0008,0.1373,0.1357,0.1343
H KCA PO,0.011,,mg/L,6.4,0.0001,0.0015,0.002,0.0014,0.0015,0.0016
H KCA PO,0.01,,mg/L,24.5,0.0003,0.0014,0.002,0.0011,0.0017,0.0014
PATRON,1.0108,,mg/L,0.4,0.0005,0.1358,0.0007,0.1352,0.1362,0.136
BLANCO,-0.0018,,mg/L,65.2,0.0002,-0.0002,0,-0.0003,-0.0001,-0.0003
BLANCO REACTIVO,0,,mg/L,90.1,0.0005,-0.0005,-0.001,-0.0009,-0.0007,0
M1 PO,0.0055,,mg/L,5.5,0,0.0008,0.0015,0.0008,0.0008,0.0007
M2 PO,0.0069,,mg/L,22.9,0.0002,0.001,0.0017,0.0012,0.0007,0.001
M3 PO,0.0061,,mg/L,14.6,0.0001,0.0008,0.0015,0.0008,0.001,0.0007
M4 PO,0.0028,,mg/L,70.8,0.0003,0.0004,0.0016,0.0007,0.0003,0.0002
PATRON,1.0077,,mg/L,0.2,0.0002,0.1354,0.0004,0.1355,0.1356,0.1352
P KCA PO,0.003,,mg/L,54.3,0.0002,0.0004,0.0016,0.0002,0.0006,0.0005
PATRON,1.0011,,mg/L,0.4,0.0005,0.1345,0.0006,0.1349,0.1339,0.1347
BLANCO,-0.0038,,mg/L,40.7,0.0002,-0.0005,-0.0004,-0.0003,-0.0006,-0.0007
BLANCO REACTIVO,0,,mg/L,24.8,0.0003,-0.0014,-0.0007,-0.0017,-0.0011,-0.0012
CELDA 8,0.0044,,mg/L,18.4,0.0001,0.0006,0.0023,0.0006,0.0007,0.0005
PATRON,1.0017,,mg/L,0.7,0.0009,0.1346,0.0011,0.1356,0.1344,0.1338
BLANCO,0.0008,,mg/L,39.6,0,0.0001,0.0005,0.0002,0.0001,0.0001
BLANCO REACTIVO,0,,mg/L,10.4,0.0001,-0.0012,-0.0011,-0.0012,-0.0013,-0.0011
H KCA PE,0.011,,mg/L,10.1,0.0002,0.0015,0.0021,0.0015,0.0017,0.0014
H KCA PE,0.0121,,mg/L,10.6,0.0002,0.0017,0.0021,0.0019,0.0017,0.0015
H KCA PE,0.0119,,mg/L,14,0.0002,0.0017,0.0021,0.0016,0.0014,0.0019
PATRON,0.9988,,mg/L,0.7,0.0009,0.1342,0.0011,0.1334,0.134,0.1352
H KCA PE,0.012,,mg/L,13.3,0.0002,0.0017,0.0021,0.0019,0.0014,0.0016
H KCA PE,0.0141,,mg/L,0.7,0,0.002,0.0019,0.002,0.0019,0.002
PATRON,1.0024,,mg/L,0.4,0.0005,0.1347,0.0004,0.1353,0.1343,0.1346
BLANCO,0.001,,mg/L,>100,0.0002,0.0001,0.0001,0.0003,0.0002,-0.0001
BLANCO REACTIVO,0,,mg/L,22.3,0.0002,-0.0009,-0.0016,-0.0009,-0.0011,-0.0007
M1 PE,0.0122,,mg/L,25.1,0.0004,0.0017,0.0012,0.0022,0.0014,0.0015
M2 PE,0.0075,,mg/L,26,0.0003,0.001,0.0016,0.0012,0.0007,0.0012
M3 PE,0.009,,mg/L,16.5,0.0002,0.0013,0.0012,0.0011,0.0015,0.0012
M4 PE,0.0091,,mg/L,15.3,0.0002,0.0013,0.0015,0.0011,0.0012,0.0015
PATRON,1.0002,,mg/L,0.7,0.001,0.1344,0.0004,0.1337,0.1341,0.1355
P KCA PE,0.0098,,mg/L,13.4,0.0002,0.0014,0.0009,0.0012,0.0015,0.0014
PATRON,1.0123,,mg/L,0.8,0.0011,0.136,0.0001,0.1361,0.1371,0.1348
BLANCO,-0.0026,,mg/L,64.3,0.0002,-0.0004,-0.0006,-0.0003,-0.0002,-0.0006
BLANCO REACTIVO,0,,mg/L,47.5,0.0003,-0.0007,-0.0022,-0.0005,-0.0005,-0.0011
ELY 1,0.0133,,mg/L,11.7,0.0002,0.0018,0.0016,0.002,0.0019,0.0016
ELY 2,0.0131,,mg/L,19.5,0.0004,0.0018,0.0015,0.0021,0.0019,0.0014
ELY 3,0.0119,,mg/L,9.5,0.0002,0.0017,0.0015,0.0018,0.0017,0.0015
ELY 4,0.0131,,mg/L,8.6,0.0002,0.0018,0.0015,0.0019,0.0016,0.0019
PATRON,1.0126,,mg/L,0.1,0.0001,0.136,-0.0001,0.1361,0.1361,0.1359
ELY P,0.0049,,mg/L,26.3,0.0002,0.0007,0.001,0.0007,0.0005,0.0008
PATRON,1.0154,,mg/L,0.8,0.0011,0.1364,0,0.1352,0.1366,0.1373
BLANCO,-0.0016,,mg/L,26.3,0.0001,-0.0002,-0.001,-0.0002,-0.0003,-0.0002
BLANCO REACTIVO,0,,mg/L,62,0.0005,-0.0008,-0.0018,-0.0014,-0.0006,-0.0005
