PATRON,4.9027,,mg/L,0.5,0.0511,1,1,1,0.0509,0.0514,0.051
BLANCO,-0.0056,,mg/L,2.7,-0.0001,1,1,1,-0.0001,-0.0001,-0.0001
BLANCO REACTIVO,0,,mg/L,>100,0,1,1,1,-0.0001,0,0.0001
FASE 1,0.0208,,mg/L,10.9,0.0002,1,1,1,0.0002,0.0002,0.0002
FASE 2,0.0355,,mg/L,16.8,0.0004,1,1,1,0.0004,0.0004,0.0003
FASE 3,0.033,,mg/L,26.8,0.0003,1,1,1,0.0004,0.0002,0.0004
VSP NORTE,0.0288,,mg/L,5.3,0.0003,1,1,1,0.0003,0.0003,0.0003
CELDA 8.1,0.0298,,mg/L,41.9,0.0003,1,1,1,0.0002,0.0005,0.0003
CELDA 8.2,0.0295,,mg/L,22.8,0.0003,1,1,1,0.0004,0.0002,0.0003
CELDA 8.3,0.0855,,mg/L,7.2,0.0009,1,1,1,0.0009,0.0009,0.0008
PATRON,4.9201,,mg/L,0.5,0.0513,1,1,1,0.0514,0.0514,0.051
BLANCO,0.0271,,mg/L,36.3,0.0003,1,1,1,0.0003,0.0004,0.0002
BLANCO REACTIVO,0,,mg/L,47,0.0002,1,1,1,0.0001,0.0002,0.0003
