Analista,GGP,,,,,,,,,,,,
Fecha de inicio,13/08/2024 04:09 a. m.  GMT: 13/08/2024 10:09 a. m.,,,,,,,,,,,,
Hoja de trabajo,SA005057_3,,,,,,,,,,,,
Comentario,,,,,,,,,,,,,
Métodos,Au,,,,,,,,,,,,
,,,,,,,,,,,,,
Peso nominal,1,Volumen nominal,1,Nominal Dilution,1,,,,,,,,
Método: Au EFAA30 (Llama),,,,,,,,,,,,,
,,,,,,,,,,,,,
,PATRON,0.501,,mg/L,2.2,0.0163,0.0013,,,,0.0165,0.0159,0.0166
,BLANCO,-0.0022,,mg/L,>100,-0.0001,0.0002,,,,0.0003,-0.0002,-0.0004
,BLANCO REACTIVO,0,,mg/L,>100,0.0001,-0.0008,,,,0.0003,0.0002,-0.0003
,SA005057-001,0.1887,,mg/L,1.8,0.0176,-0.0008,20.06,,,0.0173,0.0178,0.0178
,SA005057-002,0.1905,,mg/L,3.2,0.0178,-0.0008,20.07,,,0.0173,0.0184,0.0178
,SA005057-003,0.2096,,mg/L,1.2,0.0196,-0.001,20.07,,,0.0194,0.0195,0.0198
,SA005057-004,0.2011,,mg/L,1.4,0.0188,-0.0007,20.06,,,0.0186,0.0186,0.0191
,SA005057-005,0.2519,,mg/L,0.6,0.0236,-0.0009,20.07,,,0.0235,0.0237,0.0235
,PATRON,0.499,,mg/L,1.2,0.0163,0.0004,,,,0.0164,0.0164,0.016
,SA005057-006,0.0032,,mg/L,63.5,0.0003,-0.0007,2,,,0.0001,0.0004,0.0004
,SA005057-007,0.4173,,mg/L,0.6,0.0391,-0.0005,20.07,,,0.039,0.0389,0.0394
,SA005057-008,0.3382,,mg/L,1.1,0.0316,-0.0006,20.06,,,0.0314,0.0321,0.0314
,SA005057-009,0.2247,,mg/L,0.9,0.021,-0.0005,20.03,,,0.0208,0.021,0.0211
,SA005057-010,0.008,,mg/L,24.7,0.0007,-0.0009,20.03,,,0.0006,0.001,0.0007
,PATRON,0.496,,mg/L,1.4,0.0162,0.0001,,,,0.0164,0.016,0.016
,BLANCO,0.004,,mg/L,>100,0.0001,-0.001,,,,-0.0001,0.0003,0.0003
,BLANCO REACTIVO,0,,mg/L,>100,0.0002,-0.0008,,,,0.0007,-0.0002,-0.0001
,SA005057-011,0.3457,,mg/L,2.1,0.0324,-0.0007,20.06,,,0.0316,0.0327,0.0328
,SA005057-012,0.2686,,mg/L,2.3,0.0251,-0.0007,20.05,,,0.0247,0.0248,0.0258
,SA005057-013,0.789,,mg/L,0.6,0.0741,-0.0005,20.05,,,0.0744,0.0742,0.0735
,SA005057-014,0.1229,,mg/L,1.2,0.0115,-0.0006,20.05,,,0.0114,0.0114,0.0116
,PATRON,0.4945,,mg/L,0.9,0.0161,0.0001,,,,0.0162,0.0161,0.016
,BLANCO,-0.0019,,mg/L,>100,-0.0001,-0.0008,,,,0.0001,-0.0002,-0.0001
,BLANCO REACTIVO,0,,mg/L,>100,0,-0.0009,,,,-0.0002,0,0.0002
