Analista,GGP,,,,,,,,,
Fecha de inicio,12:47 p. m. 15/12/2025  GMT: 06:47 p. m. 15/12/2025,,,,,,,,,
Hoja de trabajo,SA007208_3,,,,,,,,,
Comentario,,,,,,,,,,
Métodos,Au,,,,,,,,,
,,,,,,,,,,
Peso nominal,1,Volumen nominal,1,,,,,,,
Método: Au EFAA30 (Llama),,,,,,,,,,
,,,,,,,,,,
,PATRON,0.5076,,mg/L,1,0.6,0.0197,0.0003,1,1
,BLANCO,0.0126,,mg/L,1,3.3,0.0005,0.0018,1,1
,BLANCO REACTIVO,0,,mg/L,1,26.3,-0.0009,0.0024,1,1
,SA007208-001,0.3948,,mg/L,1,0.9,0.0672,0.0019,30.005,7
,SA007208-002,0.2525,,mg/L,1,1.9,0.0425,0.0014,30.004,7
,SA007208-003,0.2071,,mg/L,1,1,0.0348,0.0019,30.038,7
,SA007208-004,0.1303,,mg/L,1,2.1,0.0217,0.0023,30.034,7
,SA007208-005,0.1165,,mg/L,1,2.8,0.0194,0.0017,30.031,7
,PATRON,0.4981,,mg/L,1,3.9,0.0193,0.0037,1,1
,SA007208-006,0.2434,,mg/L,1,0.9,0.0409,0.0021,30.005,7
,SA007208-007,0.2397,,mg/L,1,0.4,0.0403,0.0026,30.026,7
,SA007208-008,0.0337,,mg/L,1,1,0.0056,0.0021,30.022,7
,SA007208-010,0.9769,,mg/L,1,1,0.1597,0.0047,30.037,7
,SA007208-011,0.1391,,mg/L,1,2.9,0.0232,0.0024,30.021,7
,PATRON,0.4932,,mg/L,1,1,0.0191,0.0034,1,1
,BLANCO,0.0037,,mg/L,1,>100,0.0001,0.0026,1,1
,BLANCO REACTIVO,0,,mg/L,1,3.5,-0.0012,0.0032,1,1
,SA007208-012,0.1286,,mg/L,1,1.5,0.0214,0.003,30.006,7
,SA007208-013,-0.0005,,mg/L,1,>100,-0.0001,0.0031,30.013,7
,SA007208-014,0.1352,,mg/L,1,1.4,0.0226,0.0033,30.044,7
,SA007208-015,0.2014,,mg/L,1,0.7,0.0338,0.0024,30.038,7
,SA007208-016,0.2477,,mg/L,1,0.4,0.0417,0.0027,30.035,7
,PATRON,0.4852,,mg/L,1,1.6,0.0188,0.0034,1,1
,SA007208-017,0.6559,,mg/L,1,0.8,0.1132,0.0015,30.023,7
,SA007208-019,0.4673,,mg/L,1,1.2,0.0799,0.0018,30.024,7
,SA007208-021,0.1871,,mg/L,1,1.5,0.0313,0.0028,30.026,7
,PATRON,0.4869,,mg/L,1,0.2,0.0189,0.0046,1,1
,BLANCO,-0.0011,,mg/L,1,>100,0,0.0029,1,1
,BLANCO REACTIVO,0,,mg/L,1,3.1,-0.0013,0.0034,1,1
,SA007208-022,0.1473,,mg/L,1,2.2,0.0246,0.004,30.044,7
,SA007208-023,0.3228,,mg/L,1,1.3,0.0547,0.0031,30.034,7
,SA007208-024,0.1021,,mg/L,1,1.5,0.017,0.0031,30.01,7
,SA007208-025,0.0996,,mg/L,1,1.5,0.0165,0.0035,30.04,7
,SA007208-026,0.0684,,mg/L,1,1.8,0.0113,0.0032,30.002,7
,PATRON,0.4868,,mg/L,1,2.4,0.0189,0.0039,1,1
,SA007208-027,0.0475,,mg/L,1,3.5,0.0078,0.0035,30.008,7
,SA007208-028,0.1087,,mg/L,1,1.8,0.0181,0.0034,30.007,7
,SA007208-029,0.4383,,mg/L,1,2.2,0.0749,0.0038,30.03,7
,SA007208-030,0.4312,,mg/L,1,1.2,0.0736,0.0032,30.043,7
,SA007208-031,0.0019,,mg/L,1,16.1,0.0003,0.0038,30,7
,PATRON,0.4933,,mg/L,1,2,0.0191,0.0055,1,1
,BLANCO,-0.0028,,mg/L,1,>100,-0.0001,0.0037,1,1
,BLANCO REACTIVO,0,,mg/L,1,5.9,-0.0018,0.0037,1,1
,SA007208-032,0.1435,,mg/L,1,2.2,0.0239,0.0046,30.017,7
,PATRON,0.5005,,mg/L,1,2.9,0.0194,0.0062,1,1
,BLANCO,0.0006,,mg/L,1,>100,0,0.0046,1,1
,BLANCO REACTIVO,0,,mg/L,1,9.9,-0.0023,0.0038,1,1
